xac,yac,zac,xang,yang,zang,tempo,amostra
-877,-376,7412,-80,-327,-250,1,0
-609,-439,7159,-88,-390,-271,5364,1
-121,-596,6876,-98,-437,-298,15184,2
286,-948,7108,-115,-458,-327,25301,3
277,-1044,7013,-126,-402,-368,35435,4
-350,-890,7045,-142,-376,-411,45250,5
-682,-344,6747,-161,-389,-453,55126,6
-470,132,6419,-184,-427,-501,65250,7
-73,443,6548,-207,-470,-553,75137,8
145,717,6833,-224,-461,-606,85262,9
-129,853,7349,-243,-459,-675,95089,10
16,995,7235,-272,-475,-743,105265,11
325,1204,7486,-310,-467,-843,115083,12
717,1367,6734,-352,-413,-949,125246,13
-29,1406,6749,-379,-358,-1032,135064,14
-939,1728,7437,-398,-323,-1115,145233,15
-851,2466,6902,-433,-350,-1179,155056,16
-1553,2757,5198,-461,-314,-1280,165223,17
-2738,3361,5546,-483,-402,-1314,175111,18
-4245,4261,5063,-518,-519,-1307,185261,19
-4530,5554,4847,-588,-513,-1351,195662,20
-3253,5914,5075,-613,-559,-1368,205141,21
-3168,5378,5552,-575,-691,-1361,214964,22
-2403,6783,6882,-579,-859,-1354,225117,23
-1417,8651,8021,-613,-899,-1445,235100,24
-187,9391,8321,-675,-899,-1495,245273,25
730,9604,8398,-714,-925,-1555,255140,26
994,10056,8161,-740,-980,-1647,264972,27
1973,10181,7381,-758,-1128,-1765,275139,28
1989,10717,6362,-765,-1307,-1863,284964,29
2465,11629,4602,-743,-1553,-1921,295130,30
3781,12298,3332,-731,-1992,-1943,305075,31
4546,11847,999,-687,-2362,-1991,314999,32
4762,10239,373,-655,-2626,-1987,325166,33
5382,8210,1252,-607,-3028,-1823,334988,34
4730,5487,3507,-639,-2996,-1672,345153,35
-1709,3683,3951,-639,-2771,-1710,354985,36
-7039,1535,6723,-744,-2177,-1993,365164,37
-9537,-1434,6961,-611,-1650,-2221,374995,38
-9604,-4420,6399,-482,-1558,-2064,385184,39
-8807,-6516,5104,-318,-1343,-1658,395019,40
-7482,-6480,5206,-200,-1344,-1196,405552,41
-4869,-4454,6776,-11,-1351,-779,415087,42
-1174,-5109,5394,84,-1284,-345,424960,43
1646,-7716,8376,188,-1217,59,435151,44
2134,-10664,10337,200,-1292,475,444997,45
-1869,-11324,10473,375,-1050,739,455190,46
-7107,-10212,12202,475,-350,769,465045,47
-9057,-11973,11877,657,154,980,474969,48
-5936,-10900,11726,909,579,1323,484867,49
-2181,-10853,13551,895,396,1821,495058,50
-1677,-11327,13221,1058,411,2125,504838,51
-3420,-11677,12337,1197,820,2199,514991,52
-4040,-11483,11348,1355,1162,2393,524862,53
-3941,-10409,9888,1498,1297,2690,535049,54
-3690,-9069,9590,1598,1414,2971,544928,55
-4277,-8092,8796,1720,1444,3182,555141,56
-6009,-7486,7736,1821,1357,3360,565015,57
-7978,-6331,7617,1905,1176,3528,574963,58
-7301,-4583,7639,1966,854,3766,584847,59
-4252,-3271,8448,2015,606,3984,595046,60
-1868,-3275,8760,2123,500,4124,605256,61
-619,-2021,9882,2212,499,4218,615079,62
-1028,238,10122,2293,646,4286,624980,63
-2582,2382,8940,2374,817,4324,634862,64
-5121,3715,7940,2414,862,4350,645066,65
-5523,5066,7994,2438,841,4390,654983,66
-4201,6529,7882,2465,831,4425,664874,67
-3083,7696,8016,2480,828,4441,675128,68
-4432,8940,7861,2462,843,4404,685010,69
-5813,10019,8049,2358,849,4340,694898,70
-6131,11163,8656,2189,723,4292,704807,71
-4953,11638,9047,1999,542,4240,715710,72
-3192,10957,9761,1814,450,4185,724974,73
-2841,9471,10386,1690,431,4003,734940,74
-4191,7860,10928,1619,575,3644,744853,75
-7127,6452,10486,1586,700,3210,755075,76
-13488,6664,9909,1529,539,2692,765000,77
-15158,9061,12585,1181,-103,2043,774936,78
-10024,7900,13307,689,-735,1025,784849,79
-943,3884,12962,190,-794,-113,795071,80
5292,2930,13898,-241,-397,-866,804995,81
3971,1428,13511,-387,340,-1380,815492,82
-1561,-1587,11975,-365,1242,-1798,824737,83
-5699,-3350,11011,-295,1754,-2035,834998,84
-5824,-1678,13201,-287,1812,-2129,844916,85
-4643,-532,14142,-377,1684,-2212,854848,86
-3342,-839,13318,-421,1734,-2359,864757,87
-1311,-1889,11614,-450,1594,-2316,875012,88
1817,-3562,8903,-480,1495,-2198,884937,89
7143,-5182,1920,-294,1629,-2039,894874,90
18226,-1273,-478,-103,1312,-1509,904799,91
26966,4995,3887,-182,472,-843,914997,92
21075,6725,11844,-445,268,-909,924818,93
266,3461,12783,-524,1178,-1750,934745,94
-21507,-200,8396,-482,2136,-2535,944701,95
-21118,-133,7184,-437,1198,-2447,954965,96
-2601,-680,9117,-434,-12,-1884,964894,97
13054,-3092,8912,-372,-191,-1502,974835,98
14671,-4072,9309,-307,241,-1564,984795,99
4753,-3417,10072,-320,729,-1825,994735,100
-2690,-2897,10606,-301,922,-1915,1004693,101
-2051,-3257,7108,-117,1078,-1880,1015309,102
434,-4029,3430,-29,1077,-1885,1025220,103
341,-4584,3403,-130,757,-1818,1034774,104
-1063,-3577,5731,-213,442,-1719,1044661,105
-1113,-1775,8125,-219,305,-1639,1054865,106
-227,-744,8859,-187,243,-1547,1064764,107
928,-508,8208,-178,183,-1516,1075014,108
1803,-1407,8623,-150,110,-1503,1084751,109
1692,-1904,9320,-106,114,-1479,1094962,110
291,-1801,9173,-61,155,-1454,1104848,111
-1666,-1672,8230,-41,158,-1381,1114749,112
-2603,-1552,7455,-27,76,-1282,1125097,113
-3016,-1482,6766,-31,-34,-1177,1134664,114
-3018,-1323,6696,-44,-120,-1054,1144878,115
-2858,-930,6642,-58,-144,-924,1154776,116
-2635,-868,6376,-80,-174,-804,1164676,117
-2486,-1007,6830,-97,-200,-702,1174714,118
-2775,-988,7129,-104,-179,-603,1184686,119
-2667,-894,7395,-109,-187,-513,1194607,120
-2216,-801,7716,-104,-224,-431,1204845,121
-1580,-750,7613,-100,-254,-370,1214761,122
-1319,-890,7404,-95,-258,-323,1225124,123
-1388,-980,6910,-98,-260,-277,1234594,124
-1513,-892,6931,-102,-265,-227,1244866,125
-1779,-1223,7108,-102,-273,-180,1254816,126
-1480,-1308,7222,-104,-290,-131,1264737,127
-758,-1274,7214,-106,-304,-103,1274719,128
-19,-1304,7159,-106,-289,-94,1284708,129
357,-1366,6985,-111,-246,-103,1294645,130
407,-1191,6802,-120,-208,-123,1304545,131
265,-1005,6840,-124,-183,-145,1314797,132
-290,-1034,7316,-125,-177,-156,1324813,133
-615,-951,7396,-132,-191,-169,1334744,134
-240,-922,7146,-137,-240,-191,1344676,135
376,-765,7272,-139,-279,-221,1354614,136
356,-707,7171,-148,-281,-257,1364525,137
19,-941,7168,-154,-282,-285,1374787,138
-282,-823,6875,-159,-301,-319,1384750,139
-63,-561,6693,-166,-326,-361,1394683,140
-16,-318,6793,-175,-356,-394,1404639,141
-500,38,7120,-178,-368,-424,1414578,142
-1130,546,7168,-190,-393,-457,1424959,143
-1035,619,6951,-207,-481,-494,1434763,144
336,672,7004,-229,-576,-538,1444698,145
2199,817,6703,-267,-580,-625,1454650,146
2875,761,6220,-317,-535,-768,1464604,147
3113,992,5641,-367,-451,-896,1474517,148
1777,1309,5832,-403,-380,-1028,1484519,149
-40,1488,6088,-426,-337,-1135,1494469,150
-1566,2399,5829,-451,-384,-1219,1504736,151
-2109,3355,4555,-477,-381,-1325,1514686,152
-2057,3408,4976,-479,-537,-1373,1524656,153
-2671,4761,5863,-507,-694,-1349,1534718,154
-3181,6404,5777,-582,-571,-1400,1544679,155
-3219,6714,6335,-614,-573,-1438,1554643,156
-4165,5956,7144,-590,-660,-1407,1564600,157
-4235,6689,8590,-584,-856,-1369,1574534,158
-1203,8660,9116,-641,-952,-1413,1584601,159
1318,9374,9368,-743,-862,-1452,1594541,160
1268,9190,9137,-775,-779,-1508,1604508,161
324,9073,8269,-805,-814,-1571,1614469,162
1290,9301,7084,-827,-983,-1653,1624427,163
3622,9489,6092,-840,-1209,-1741,1635153,164
5038,9409,4858,-850,-1401,-1817,1644463,165
3926,8774,2689,-819,-1624,-1886,1654421,166
2239,8651,1680,-760,-1805,-1961,1664729,167
2478,7837,928,-727,-2282,-1897,1674761,168
2380,6961,2581,-711,-2641,-1836,1684435,169
563,6412,5178,-719,-2785,-1827,1694409,170
-3646,4937,5925,-760,-2639,-1914,1704724,171
-6682,2266,3786,-611,-1977,-1983,1714712,172
-5692,-466,3578,-639,-1869,-1805,1724709,173
-3387,-2675,6288,-664,-2131,-1614,1734428,174
-3109,-5078,8375,-578,-2166,-1546,1744615,175
-5744,-7902,8449,-523,-1840,-1480,1754592,176
-8980,-9767,8148,-429,-1373,-1246,1764568,177
-9444,-9295,7779,-320,-1193,-908,1774540,178
-6221,-7670,7419,-123,-1096,-555,1784630,179
-2587,-7496,7787,-28,-1082,-110,1794608,180
-312,-8213,6932,248,-1112,248,1804603,181
162,-9501,10333,120,-1083,510,1814597,182
-1132,-11400,11661,171,-761,814,1824572,183
-2854,-10213,12896,433,41,943,1834624,184
-3512,-8860,13398,575,223,1239,1844535,185
-4436,-7386,12604,772,307,1572,1854518,186
-5220,-6984,12607,905,678,1725,1864509,187
-5060,-7260,12543,1060,818,1946,1874505,188
-4221,-6920,11284,1225,879,2235,1884509,189
-3566,-6397,11453,1312,1136,2424,1894510,190
-2997,-5609,11086,1437,1312,2616,1904514,191
-3129,-4689,10230,1538,1424,2811,1914514,192
-4476,-4822,9298,1638,1493,2972,1924516,193
-4307,-4447,9431,1727,1424,3158,1934515,194
-2942,-3915,10411,1798,1333,3323,1944366,195
-1663,-3381,10720,1899,1359,3430,1954385,196
-1166,-2547,10694,1995,1424,3553,1964403,197
-1242,-1435,10335,2066,1488,3715,1974433,198
-1587,24,10045,2107,1489,3900,1984515,199
-1663,1711,9944,2146,1451,4067,1994525,200
-1857,3483,9777,2177,1435,4172,2004541,201
-2742,4678,9137,2184,1422,4237,2014568,202
-4136,5441,8759,2159,1385,4320,2024596,203
-5549,6297,7892,2119,1318,4404,2034279,204
-6246,6981,7453,2055,1183,4478,2044841,205
-6282,7701,7770,1973,955,4500,2054538,206
-5364,7947,8376,1872,728,4477,2064571,207
-4357,8322,9713,1758,569,4391,2074257,208
-5449,9287,10031,1661,572,4197,2084351,209
-8786,10327,9508,1578,466,3951,2094383,210
-8820,11251,13868,1349,223,3679,2104412,211
-7402,9968,16733,1178,322,3240,2114434,212
-9849,7591,15086,1105,556,2715,2124473,213
-15072,5648,13274,992,585,2157,2134513,214
-19162,4394,12884,815,360,1462,2144451,215
-18513,4977,14001,550,39,623,2154400,216
-13818,5124,14173,216,21,-238,2164429,217
-9801,4458,13563,-82,266,-971,2174219,218
-9218,3371,12990,-307,647,-1542,2184332,219
-9011,1624,11933,-418,1093,-2018,2194376,220
514,240,5580,-311,1478,-2288,2204415,221
19741,3458,3653,-192,1553,-1974,2214459,222
-31171,6080,11280,-428,895,-913,2224192,223
-31231,5836,17094,-349,771,-838,2234387,224
2771,1380,14370,-316,2026,-1896,2245098,225
-25705,-2175,8602,-325,2981,-2525,2254422,226
-26442,-2036,7980,-244,1854,-2459,2264165,227
-6420,-1603,8729,-155,209,-2032,2274223,228
10774,-2288,7905,-113,-291,-1651,2284376,229
15582,-3568,7443,-109,-166,-1532,2294439,230
9914,-3511,6726,-98,364,-1608,2304178,231
455,-3986,4524,-133,924,-1745,2314231,232
-3390,-4437,3752,-172,923,-1774,2324300,233
-424,-3806,3975,-206,495,-1688,2334352,234
3503,-3751,4060,-240,205,-1585,2344417,235
4029,-4564,6068,-292,145,-1511,2354368,236
2858,-4425,8191,-280,191,-1458,2364449,237
1733,-2791,9126,-241,404,-1505,2374194,238
2492,-838,9854,-198,567,-1563,2384271,239
4241,37,10549,-166,537,-1609,2394332,240
4789,-618,11590,-103,500,-1646,2404405,241
3257,-1303,11250,-7,614,-1676,2414179,242
188,-1854,9363,47,718,-1705,2424256,243
-2861,-2288,7597,73,658,-1626,2434336,244
-3670,-2157,6601,81,424,-1460,2444412,245
-3193,-1628,6652,64,139,-1303,2454496,246
-1868,-1053,7137,39,-72,-1162,2464255,247
-1194,-838,7810,23,-157,-1072,2474339,248
-545,-804,7641,9,-133,-966,2484186,249
-612,-846,7620,-1,-87,-891,2494260,250
-1763,-870,7632,-10,-46,-812,2504348,251
-2742,-868,8183,-13,-24,-699,2514114,252
-3128,-790,8659,1,-46,-584,2524215,253
-2765,-568,8382,18,-136,-480,2534314,254
-2137,-477,8251,36,-248,-387,2544074,255
-1452,-635,7846,49,-307,-311,2554119,256
-974,-1072,7241,54,-345,-256,2564075,257
-598,-1114,7047,53,-359,-214,2574177,258
6,-1052,6643,43,-355,-180,2584277,259
284,-1225,6450,27,-355,-168,2594359,260
388,-1327,6364,10,-338,-153,2604151,261
533,-1346,6419,-6,-332,-149,2614248,262
675,-1358,6603,-20,-330,-154,2624034,263
608,-1304,6903,-27,-322,-165,2634153,264
375,-1046,7359,-36,-314,-172,2644259,265
603,-893,7090,-45,-340,-194,2654060,266
1107,-612,7038,-59,-344,-227,2664045,267
1049,-780,6946,-73,-357,-270,2674170,268
886,-832,6579,-95,-352,-306,2684290,269
800,-821,6531,-111,-350,-343,2694074,270
836,-955,6629,-121,-382,-381,2704187,271
977,-924,7065,-133,-395,-418,2714300,272
1531,-964,7111,-144,-391,-478,2724076,273
1589,-640,7068,-161,-371,-550,2734244,274
931,-471,7236,-182,-333,-605,2744043,275
231,-579,6811,-203,-315,-665,2754171,276
-345,-459,6958,-223,-328,-714,2764177,277
-294,-356,7081,-241,-355,-769,2773973,278
269,-202,7333,-261,-409,-819,2784134,279
1135,98,7304,-285,-397,-886,2794269,280
1199,768,7533,-317,-309,-971,2804074,281
-36,471,7016,-340,-220,-1053,2814207,282
-1131,766,7960,-357,-116,-1127,2824010,283
-413,875,7345,-402,-177,-1169,2834169,284
-1789,1222,6128,-430,-90,-1227,2844299,285
-3635,2289,6059,-444,-117,-1267,2854103,286
-3938,1658,4950,-431,-337,-1245,2864156,287
-4887,2457,5298,-412,-476,-1231,2873983,288
-3776,4435,5465,-445,-647,-1235,2884149,289
-1686,6239,5417,-522,-634,-1275,2893960,290
-2200,6503,5650,-525,-550,-1317,2904103,291
-3732,6428,6200,-501,-660,-1271,2913928,292
