xac,yac,zac,xang,yang,zang,tempo,amostra
-1712,-3170,6736,39,618,-761,1,0
-2044,-1827,8606,98,555,-798,6352,1
-2134,-534,10732,192,428,-825,16142,2
-2186,1333,10797,312,255,-896,26283,3
-2496,3041,9409,380,-47,-1027,36108,4
-2259,3134,7691,385,-308,-1130,46245,5
-669,1369,6436,367,-462,-1213,56313,6
551,-367,5128,356,-532,-1280,66129,7
912,-1316,3893,349,-553,-1293,76273,8
2373,-1122,2427,332,-570,-1281,86089,9
4618,-140,2779,291,-550,-1256,96133,10
5923,608,3489,257,-337,-1180,105988,11
4200,1459,3768,258,5,-1132,116141,12
1965,2577,4312,270,226,-1117,125956,13
1248,4375,5138,292,147,-1157,136126,14
2432,5298,5478,301,-99,-1203,145955,15
3556,5413,5686,297,-261,-1238,156127,16
4313,5674,5919,308,-310,-1252,165958,17
5740,6900,5521,300,-320,-1270,176130,18
6812,7222,4922,256,-300,-1293,185972,19
6662,6071,4306,193,-203,-1338,196816,20
5949,4514,3639,152,-105,-1374,207513,21
6658,3170,3097,129,-159,-1371,216018,22
9012,2316,1298,117,80,-1419,226172,23
9136,2430,-610,109,306,-1422,235996,24
8991,1554,-966,75,550,-1398,246162,25
3802,-6857,876,71,747,-1469,256007,26
2785,-10218,3048,253,595,-1379,266188,27
3856,-5866,3291,419,322,-1232,276021,28
5316,-2823,1997,495,352,-1184,286181,29
5511,-2872,1730,491,350,-1226,296052,30
7218,-3093,4722,470,346,-1137,306174,31
7843,-3396,7149,466,521,-1008,316018,32
5726,-3222,9838,492,692,-846,326185,33
4100,-2204,11037,531,729,-710,336030,34
4295,-964,12382,571,597,-564,345874,35
5224,741,12560,606,442,-381,356125,36
6263,1969,11938,621,280,-212,365985,37
6393,2891,10438,617,158,-73,375846,38
7608,3079,8631,586,59,54,386021,39
9129,1805,8759,563,-58,123,395898,40
11774,1388,6722,588,-104,181,406357,41
11318,3315,4941,527,-174,192,415881,42
9491,4648,4832,479,-162,260,426061,43
8016,4355,4979,439,-219,224,435911,44
7361,2846,5899,407,-382,147,446099,45
7403,2369,5104,379,-435,142,455987,46
7043,2258,4569,333,-331,147,465875,47
6035,2442,3637,299,-138,148,476056,48
3917,2896,2953,247,100,202,485904,49
3055,3289,2556,173,394,276,496091,50
1206,2520,3104,118,627,322,505884,51
-2076,1903,2992,76,828,414,516013,52
-3572,2345,3002,18,976,503,525889,53
-2358,2366,3761,-64,937,499,536087,54
-2426,1688,4786,-111,869,541,545948,55
-4188,1068,4747,-158,812,627,555848,56
-5950,1271,4243,-214,657,662,566044,57
-5499,1561,3640,-275,316,645,575908,58
-3523,1429,3659,-340,-28,631,585784,59
-1712,1098,3684,-392,-221,652,596009,60
-1415,383,3933,-427,-211,711,606462,61
-1756,-22,4196,-432,-89,795,615929,62
-1705,142,4366,-430,6,869,625818,63
-1288,-201,4336,-442,57,951,636025,64
-986,-625,4267,-461,115,1051,645903,65
-800,-206,4316,-482,162,1147,655841,66
-838,-44,4277,-528,164,1229,665742,67
-878,-59,4762,-576,141,1290,675945,68
-693,253,5090,-638,21,1304,685863,69
-538,200,5340,-719,-192,1309,695767,70
28,-242,5708,-797,-417,1318,705994,71
1120,-731,6025,-860,-620,1319,715735,72
2636,-1352,6645,-892,-759,1324,725943,73
4027,-1846,7351,-888,-778,1343,735871,74
4952,-2009,7889,-853,-725,1365,745767,75
5677,-2150,8195,-799,-605,1387,756020,76
6295,-1936,8316,-731,-431,1417,765922,77
6173,-1528,8281,-669,-231,1439,775840,78
5183,-1319,8230,-623,-54,1457,785751,79
4214,-890,7952,-606,54,1465,795979,80
3258,-680,8225,-605,121,1464,805914,81
2739,-401,8412,-613,142,1456,816012,82
