xac,yac,zac,xang,yang,zang,tempo,amostra
440,-15317,6735,-516,-98,759,1,0
94,-14140,6496,-487,27,593,10003,1
-2018,-13890,5379,-406,323,483,20165,2
-5858,-11199,5205,-330,501,330,30009,3
-11058,-9673,4970,-263,583,247,40185,4
-13480,-10985,4591,-220,532,277,50040,5
-13213,-11005,4621,-201,331,263,59980,6
-12926,-10489,4849,-178,131,231,70160,7
-11854,-11402,4308,-130,-43,173,79886,8
-11128,-9352,3448,-88,-319,17,89734,9
-10522,-5304,2368,-68,-623,-163,99706,10
-8952,-2681,1275,-117,-907,-295,109794,11
-6855,-4691,4398,-209,-834,-297,119893,12
-6922,-5729,4457,-193,-421,-242,129736,13
-9908,-4570,4383,-155,-180,-242,139832,14
-9435,-5773,5991,-103,-49,-214,149677,15
-8129,-5087,5975,16,-17,-280,159770,16
-7505,-2372,5007,114,-29,-418,169875,17
-6886,322,4107,161,-7,-564,179750,18
-7096,2581,4764,152,44,-655,189719,19
-8099,4624,4467,117,157,-632,199838,20
-9590,5504,4791,24,221,-554,209701,21
-21178,-69,28666,-116,5,-421,219814,22
32262,-30267,3416,-1687,-1035,-264,230871,23
9979,-21868,14533,1113,3313,-59,239931,24
-14737,6619,11748,721,458,-1584,249871,25
4943,4206,21869,434,-348,-1194,259733,26
21033,4411,13024,602,827,-1182,269851,27
-647,12302,-11666,489,643,-1439,279755,28
-15771,3444,-4002,-138,445,-1296,289779,29
2440,-4560,17007,-1,24,-935,299872,30
7629,-1196,11472,220,-482,-1101,309738,31
1169,-2839,11134,-28,-572,-1302,319869,32
-4009,-807,10975,5,-69,-1193,329742,33
-3243,2192,6486,26,102,-1115,339868,34
2605,1214,6107,99,328,-896,349738,35
1113,2629,5946,123,779,-820,359632,36
-6527,2312,6181,74,888,-786,369757,37
-8186,2106,6266,46,485,-700,379643,38
-4451,2138,5454,21,10,-598,389791,39
-1532,1668,4395,17,-154,-519,400246,40
-75,1526,4000,47,-57,-449,409715,41
-448,1761,4149,83,148,-377,419840,42
-1324,1910,5120,117,275,-290,429752,43
-2260,1908,5616,134,301,-221,439648,44
-3465,1416,6099,135,261,-182,449971,45
-2929,1397,6156,137,195,-159,459602,46
-2883,1698,6652,121,165,-164,469743,47
-3382,1820,6633,106,138,-180,479657,48
-2971,1921,6134,95,99,-195,489811,49
-2179,1910,5599,91,100,-208,500045,50
-1887,1921,5392,96,149,-215,509739,51
-2154,1828,5210,110,191,-225,519633,52
-3109,1863,5059,122,169,-236,529780,53
-3171,1931,5076,134,106,-248,539680,54
-1819,1880,6127,141,55,-252,549572,55
-1898,1548,6368,155,79,-269,559722,56
-2692,1544,6169,162,82,-286,569642,57
-2281,1163,6028,186,47,-287,579919,58
-2019,1244,5652,213,41,-298,589559,59
-2259,1105,5552,247,38,-314,599727,60
-1767,1228,5986,265,45,-321,609752,61
-1231,848,6748,282,76,-322,619670,62
-1537,972,6788,303,118,-337,629571,63
-1778,632,6798,310,148,-347,639737,64
-1769,637,6382,323,145,-357,649659,65
-1368,897,5992,323,145,-366,659568,66
-1215,1003,6342,316,167,-375,669748,67
-1027,1310,6062,316,178,-393,679698,68
-1599,1591,5971,322,164,-428,689616,69
-1695,1695,6050,330,116,-469,699853,70
-2592,1362,6009,344,37,-521,709692,71
-2401,1513,5532,347,-93,-563,719613,72
-2363,1466,5632,333,-242,-620,729536,73
-2962,1977,4887,324,-426,-672,739721,74
-3240,2402,7404,291,-685,-722,749651,75
3164,2246,7824,410,-851,-624,759557,76
405,2412,7420,380,-731,-712,769477,77
-1310,2403,8789,331,-671,-699,779677,78
1534,1825,8943,360,-719,-640,789606,79
883,839,9636,324,-588,-669,799524,80
831,484,9134,344,-449,-639,810016,81
45,220,8494,322,-342,-655,819702,82
-683,-221,8346,296,-248,-652,829635,83
-1177,-121,7700,285,-239,-663,839572,84
-657,299,7888,265,-287,-673,849508,85
-354,492,7625,251,-327,-695,859705,86
463,719,7289,247,-337,-709,869644,87
1382,717,7770,254,-281,-716,879448,88
2206,610,7811,268,-145,-712,889644,89
588,411,7588,262,-4,-740,899583,90
703,369,8050,249,28,-746,909417,91
1122,756,8710,232,54,-756,919518,92
1127,752,8774,215,95,-763,929464,93
1122,1097,8972,210,126,-770,939399,94
1340,1201,8320,211,136,-768,949609,95
942,1058,8267,223,154,-774,959568,96
550,378,8489,245,126,-748,969971,97
1199,62,7313,288,35,-709,979507,98
2804,-226,6890,294,15,-667,989533,99
3129,-60,7742,281,91,-650,999493,100
1923,514,7454,298,170,-655,1009546,101
2198,1329,5711,326,169,-673,1019766,102
1149,487,6435,355,192,-697,1029551,103
1951,284,6077,397,101,-712,1039515,104
2700,-334,6210,419,103,-723,1049477,105
4191,-849,6941,415,172,-723,1059436,106
4079,-1349,8644,388,336,-741,1069393,107
1953,-1740,10904,378,458,-755,1079740,108
1139,-1010,11811,386,445,-754,1089643,109
1070,-494,13380,407,377,-748,1099617,110
-153,-1034,12731,465,239,-739,1109975,111
1362,-1247,10939,518,14,-702,1119525,112
4284,-1363,8741,543,-97,-658,1129501,113
5390,-1075,7225,540,-38,-620,1139473,114
5914,-937,6371,517,86,-574,1149436,115
6027,-818,7212,482,229,-521,1159400,116
4948,-993,8317,456,370,-470,1169374,117
4517,-1148,9310,442,446,-415,1179376,118
4184,-1187,9904,429,506,-378,1189645,119
3937,-1510,10535,425,587,-360,1199364,120
3642,-2196,10939,433,681,-365,1209607,121
499,-7578,11493,498,748,-397,1219467,122
105,-5458,7295,602,521,-413,1229448,123
5412,-2373,8652,558,511,-452,1239515,124
4106,-4597,9323,596,807,-550,1249518,125
615,-5685,7926,644,959,-639,1259519,126
468,-6401,6893,692,907,-689,1269518,127
435,-7263,6665,724,866,-769,1279510,128
410,-9022,6760,740,888,-844,1289531,129
528,-10149,6862,761,1012,-919,1299523,130
-550,-10473,5887,772,1219,-999,1309524,131
-1682,-10984,5103,754,1455,-1046,1319333,132
-2543,-11724,5260,756,1706,-1098,1329491,133
-2878,-12104,6531,835,1936,-1166,1339510,134
-2452,-10367,9897,995,2050,-1214,1349518,135
5942,-12740,14603,1299,1852,-1347,1359527,136
8897,-13920,6785,1446,792,-1766,1369287,137
6910,-12284,4080,1302,-480,-2243,1379376,138
7955,-12160,4840,1235,-588,-2328,1389419,139
8413,-12312,5086,1241,49,-2291,1399427,140
10342,-13732,9253,1259,1037,-2195,1409436,141
8904,-15978,9031,1364,1651,-2250,1419348,142
3151,-16696,11135,1441,1740,-2312,1429269,143
2220,-16775,14136,1561,1789,-2194,1439294,144
4758,-16748,17197,1745,1578,-2104,1449313,145
7481,-15157,17300,1860,1224,-2048,1459324,146
9497,-12945,17119,1863,857,-2004,1469341,147
9946,-10637,17174,1849,635,-1924,1479392,148
9814,-7805,16733,1822,487,-1804,1489441,149
10228,-5260,16427,1758,215,-1673,1499462,150
10887,-2395,16228,1674,-153,-1549,1509223,151
11331,-171,15900,1558,-537,-1439,1519616,152
10771,1807,15274,1427,-840,-1334,1529305,153
9630,3949,15301,1275,-1015,-1197,1539337,154
8624,6244,15114,1123,-1073,-996,1549362,155
8403,8362,14914,959,-1081,-758,1559400,156
8097,10503,14479,784,-1045,-482,1569436,157
6488,12568,13667,593,-956,-195,1579295,158
3924,14090,13421,394,-858,123,1589330,159
2524,15367,12968,202,-825,474,1599375,160
1913,16610,13048,7,-844,836,1609419,161
1267,17514,12078,-174,-825,1218,1619198,162
-69,18031,10690,-367,-865,1595,1629694,163
-1618,17688,9457,-553,-989,1971,1639224,164
-2637,16646,8676,-725,-1129,2361,1649275,165
-2349,15682,7660,-878,-1272,2757,1659323,166
-1609,14870,7127,-1016,-1337,3140,1669376,167
-1534,13288,5943,-1134,-1303,3530,1679458,168
-709,11897,5068,-1242,-1214,3899,1689247,169
140,10474,4268,-1356,-1000,4226,1699306,170
252,9569,3684,-1467,-725,4504,1709360,171
75,9192,3613,-1566,-501,4720,1719421,172
683,9514,4236,-1677,-334,4872,1729362,173
818,9760,4029,-1787,-163,5023,1739289,174
407,10462,4390,-1897,-19,5017,1749349,175
-2551,11729,5245,-1992,-132,5011,1759153,176
-421,11912,5511,-2086,-260,4977,1769215,177
940,13222,6272,-2164,-364,4832,1779319,178
2770,14516,6809,-2214,-377,4660,1789389,179
5472,16118,7282,-2256,-284,4439,1799452,180
7201,17224,9146,-2277,-130,4161,1809262,181
8023,17920,12001,-2258,106,3858,1819340,182
8065,18855,14895,-2205,334,3543,1829234,183
8000,19548,17320,-2130,465,3232,1839388,184
7880,20105,19062,-2023,513,2920,1849207,185
7975,20493,20104,-1905,482,2622,1859281,186
8304,20392,21166,-1776,439,2339,1869362,187
8494,19816,21968,-1624,401,2059,1879234,188
7756,19368,22677,-1449,362,1793,1889115,189
7596,18862,23054,-1271,301,1579,1899212,190
7647,17981,22843,-1095,234,1411,1909297,191
7003,16606,22740,-924,165,1237,1919125,192
5779,15682,21910,-764,23,1081,1929237,193
4255,14836,20388,-652,-202,960,1939121,194
