xac,yac,zac,xang,yang,zang,tempo,amostra
975,-7851,5065,-107.47,11.28,11.19,1,0
-1267,-5515,-1048,-106.45,10.18,11.64,8997,1
-842,-5059,4763,-105.41,8.97,12.01,18915,2
-1373,-3234,6308,-104.38,7.74,12.32,28893,3
-543,-2285,8243,-103.38,6.39,12.61,39073,4
3009,-1154,9726,-102.51,5.01,12.93,49257,5
7733,-508,6635,-101.74,3.64,13.27,58912,6
11500,-990,8359,-100.90,2.52,13.58,68878,7
11529,-4264,13899,-99.98,1.67,13.71,79068,8
13339,-6342,12290,-99.12,1.01,13.82,89034,9
14414,-5331,7469,-98.28,0.60,14.04,99035,10
9228,-2158,9539,-97.40,0.32,14.32,109041,11
2799,1380,2491,-96.54,-0.05,14.77,118951,12
-3255,4894,-7314,-95.78,-0.47,15.24,128923,13
-7537,6366,-3131,-95.18,-0.83,15.48,138896,14
-10259,4879,7901,-94.81,-1.24,15.43,148827,15
-10107,1948,15173,-94.77,-1.82,15.32,159046,16
-6233,748,14235,-95.15,-2.49,15.38,169036,17
-659,1755,8892,-95.92,-2.94,15.63,178968,18
5876,3553,4742,-96.89,-2.87,15.91,188903,19
8772,4825,5174,-97.85,-2.16,16.06,198985,20
5075,4415,8182,-98.74,-1.04,16.08,208902,21
1028,3359,9528,-99.73,0.11,16.02,218790,22
-740,3100,8971,-100.94,1.19,15.93,228742,23
161,3693,6874,-102.35,2.33,15.84,238896,24
2199,3988,4223,-103.92,3.63,15.73,248763,25
4319,3030,3510,-105.52,5.19,15.54,258926,26
5909,939,4404,-107.14,6.96,15.22,268751,27
7340,-860,4717,-108.79,8.84,14.76,278915,28
9013,-1309,3462,-110.56,10.76,14.15,288789,29
10327,-622,3355,-112.41,12.64,13.42,299416,30
10456,-428,4519,-114.32,14.40,12.55,308850,31
9177,-1044,5560,-116.28,15.98,11.52,318756,32
7561,-1768,5882,-118.28,17.35,10.34,328924,33
6229,-2085,5445,-120.30,18.61,9.02,338878,34
5627,-2835,4900,-122.30,19.89,7.57,348764,35
5552,-3463,4695,-124.30,21.21,5.98,358651,36
5970,-4069,4336,-126.30,22.59,4.25,368891,37
6509,-4425,3514,-128.30,23.96,2.35,378778,38
6834,-4414,3097,-130.30,25.28,0.31,388738,39
7597,-4112,3844,-132.29,26.51,-1.89,398927,40
9972,-4238,2594,-134.30,27.57,-4.20,409102,41
11435,-5227,3048,-136.32,28.39,-6.67,418762,42
12174,-6275,5559,-138.39,28.80,-9.27,428673,43
13491,-6758,8247,-140.58,28.66,-11.90,438915,44
14864,-6517,10334,-142.88,27.90,-14.40,448816,45
15263,-5289,11638,-145.22,26.56,-16.66,458660,46
15199,-4371,12861,-147.51,24.74,-18.61,468616,47
15742,-4469,13879,-149.72,22.60,-20.31,478802,48
17062,-3967,15145,-151.79,20.33,-21.79,488753,49
18150,-2372,15598,-153.65,18.12,-23.05,498656,50
16787,-265,15757,-155.18,16.21,-24.09,508827,51
14523,379,17213,-156.33,14.80,-24.95,518624,52
13225,-247,19500,-157.07,14.04,-25.65,528810,53
14905,-245,20952,-157.45,13.97,-26.15,538769,54
18903,390,22431,-157.49,14.52,-26.41,548692,55
22238,1421,23224,-157.19,15.52,-26.37,558644,56
