xac,yac,zac,xang,yang,zang,tempo,amostra
11199,3049,8199,129.35,11.66,-6.78,1,0
11065,3220,9185,129.01,11.37,-7.06,10403,1
10274,3583,9889,128.76,11.15,-7.24,20689,2
9466,3939,10441,128.61,11.00,-7.36,30301,3
9164,4610,10489,128.54,10.96,-7.39,40434,4
8787,5041,10635,128.55,11.03,-7.36,50344,5
7584,5443,11056,128.66,11.22,-7.24,60288,6
5838,5072,11485,128.83,11.48,-7.07,70488,7
7317,846,13149,129.06,11.81,-6.86,80577,8
16473,-12531,-3220,129.39,12.49,-6.77,90493,9
12465,-17396,3378,129.99,14.09,-7.12,100945,10
-10001,-6189,9724,130.82,15.70,-7.33,110302,11
-14326,-1279,11663,131.64,16.05,-7.26,120507,12
-190,-1170,9886,132.56,15.19,-7.10,130454,13
12173,917,7896,133.25,14.85,-6.71,140387,14
14687,5484,11144,133.79,15.86,-6.24,150330,15
7031,3868,8785,134.63,16.69,-5.81,160316,16
2439,-2164,7107,135.55,16.88,-5.63,170292,17
715,-2490,8003,136.20,17.10,-5.61,180209,18
-41,384,6650,136.71,17.27,-5.55,190456,19
213,1146,5933,137.23,17.09,-5.41,200455,20
1304,1147,5118,137.73,16.83,-5.27,210351,21
932,596,6076,138.16,16.86,-5.15,220318,22
-542,577,5671,138.52,17.11,-5.04,230302,23
-739,763,5701,138.86,17.32,-4.92,240237,24
1884,742,6024,139.10,17.49,-4.82,250183,25
4112,966,6447,139.27,17.62,-4.74,260170,26
3234,719,6315,139.45,17.66,-4.66,270399,27
757,687,6049,139.64,17.61,-4.59,280351,28
-916,768,6551,139.84,17.51,-4.53,290325,29
-1122,721,5991,140.02,17.41,-4.47,300326,30
0,1041,6520,140.17,17.36,-4.43,310304,31
1445,1168,5101,140.31,17.33,-4.37,320252,32
2005,1009,5278,140.44,17.32,-4.32,330204,33
1479,1258,5308,140.59,17.26,-4.27,340230,34
712,1079,5601,140.75,17.09,-4.20,350198,35
933,750,6092,140.89,16.89,-4.14,360196,36
450,830,5795,141.04,16.69,-4.08,370196,37
-196,827,5628,141.23,16.49,-4.00,380197,38
218,956,5661,141.42,16.29,-3.91,390203,39
696,938,5790,141.61,16.13,-3.81,400500,40
846,848,5615,141.83,15.98,-3.69,410205,41
769,1003,5615,142.04,15.86,-3.56,420204,42
756,912,5487,142.25,15.75,-3.41,430204,43
1192,746,5720,142.47,15.65,-3.25,440230,44
1561,691,5900,142.68,15.57,-3.09,450206,45
1621,734,5968,142.91,15.49,-2.92,460204,46
1284,737,6171,143.14,15.41,-2.74,470207,47
1353,603,6191,143.37,15.35,-2.55,480210,48
1618,596,6359,143.60,15.30,-2.37,490220,49
1922,627,6442,143.82,15.29,-2.19,500224,50
2177,727,6549,144.03,15.29,-2.00,510769,51
2497,668,6484,144.23,15.29,-1.82,520267,52
2491,628,6399,144.43,15.29,-1.66,530248,53
2499,652,6371,144.61,15.29,-1.49,540254,54
2485,629,6464,144.79,15.29,-1.35,550242,55
2701,644,6424,144.95,15.28,-1.21,560234,56
2889,719,6500,145.09,15.26,-1.08,570235,57
2898,608,6558,145.23,15.26,-0.97,580234,58
2844,601,6552,145.36,15.22,-0.87,590235,59
2711,664,6327,145.48,15.19,-0.77,600242,60
2547,624,6355,145.59,15.15,-0.69,610581,61
2588,469,6308,145.70,15.09,-0.60,619992,62
2693,553,6195,145.81,15.05,-0.52,629975,63
2601,478,6284,145.91,15.00,-0.44,639975,64
2443,513,6245,146.01,14.95,-0.36,649969,65
2690,500,6365,146.10,14.89,-0.28,659966,66
2509,483,6345,146.21,14.84,-0.18,669964,67
2410,427,6234,146.32,14.80,-0.09,679961,68
2539,380,6358,146.44,14.75,0.01,690245,69
2706,352,6234,146.57,14.69,0.13,699959,70
2777,318,6398,146.71,14.64,0.24,709963,71
2775,336,6390,146.86,14.58,0.37,719964,72
2546,315,6400,147.02,14.52,0.51,729970,73
2585,373,6294,147.19,14.45,0.66,739978,74
2699,181,6383,147.38,14.38,0.81,749994,75
2837,92,6419,147.58,14.31,0.98,760003,76
3031,195,6501,147.79,14.24,1.16,770050,77
3206,137,6653,148.01,14.16,1.33,780105,78
3352,22,6694,148.24,14.07,1.52,790126,79
3421,-41,6702,148.48,13.96,1.72,800135,80
3422,-381,7019,148.72,13.86,1.91,810137,81
3472,-1170,6990,148.96,13.75,2.11,820141,82
3487,-1581,5901,149.17,13.68,2.31,830156,83
4068,-1081,5727,149.37,13.66,2.53,840164,84
4533,-857,7503,149.56,13.65,2.75,849903,85
4739,-1157,7736,149.74,13.56,2.96,859978,86
4640,-1408,7924,149.91,13.43,3.17,870011,87
4082,-1407,7573,150.09,13.29,3.36,880032,88
3824,-1656,8064,150.28,13.13,3.55,890108,89
4163,-1772,8028,150.44,12.98,3.74,900133,90
5722,257,90,150.58,12.86,3.91,910152,91
3579,-3555,15369,150.75,12.77,4.04,920390,92
4592,-1129,3554,150.89,12.45,4.18,929888,93
4139,-1097,9978,151.02,12.34,4.34,940128,94
2701,-1199,7733,151.20,12.17,4.54,950108,95
3297,-1724,8530,151.36,12.00,4.69,959829,96
3717,-1144,8832,151.50,11.92,4.86,969830,97
2700,-893,8019,151.67,11.89,5.05,979888,98
2695,-1058,9234,151.84,11.89,5.24,989866,99
3076,-822,8437,152.01,11.93,5.45,999845,100
3299,-531,9047,152.20,12.01,5.70,1009843,101
2925,-205,8643,152.43,12.14,6.00,1021245,102
2764,-270,8087,152.71,12.29,6.33,1030049,103
2908,-305,7723,153.05,12.49,6.71,1039860,104
2947,-435,7304,153.42,12.72,7.10,1049849,105
2995,-432,7064,153.82,12.98,7.49,1059850,106
3433,-339,7515,154.24,13.23,7.90,1069855,107
3224,-171,6306,154.67,13.45,8.30,1079773,108
3134,466,6350,155.09,13.68,8.70,1089999,109
2880,930,5014,155.50,13.91,9.09,1099999,110
4278,1216,6921,155.88,14.07,9.43,1110003,111
5729,335,7173,156.22,14.11,9.73,1119803,112
2420,-346,5388,156.52,14.15,9.96,1129904,113
-13664,41,4469,156.73,14.17,10.14,1140007,114
-20795,3007,5514,156.78,13.77,10.22,1150002,115
-14477,2481,1660,156.63,13.22,10.23,1159996,116
-5205,583,2720,156.24,13.36,10.16,1170000,117
-2846,-1450,5740,155.78,13.79,9.97,1180018,118
-2804,-1963,5115,155.27,14.08,9.65,1190033,119
-2964,-2004,5590,154.68,14.21,9.25,1199744,120
-3111,-1830,6113,154.03,14.27,8.82,1209757,121
-2879,-1995,6043,153.35,14.33,8.35,1220249,122
-1978,-2021,6348,152.62,14.46,7.86,1229707,123
-1178,-2059,6437,151.86,14.64,7.36,1239758,124
-744,-2147,6320,151.11,14.84,6.86,1249772,125
-474,-2262,6581,150.34,15.05,6.34,1259848,126
-462,-2205,6441,149.57,15.25,5.82,1269937,127
-325,-2347,6534,148.81,15.44,5.29,1279716,128
26,-2381,6568,148.03,15.64,4.75,1289746,129
33,-2235,6647,147.26,15.82,4.20,1300041,130
345,-2115,6728,146.49,15.97,3.64,1309785,131
336,-2193,6935,145.71,16.10,3.07,1319866,132
359,-2282,7288,144.92,16.19,2.48,1329736,133
248,-2239,7169,144.11,16.24,1.89,1339785,134
226,-2251,7257,143.29,16.28,1.29,1349877,135
387,-2191,7587,142.45,16.29,0.68,1359918,136
744,-2106,7743,141.61,16.29,0.07,1369730,137
1278,-1930,7367,140.75,16.29,-0.53,1379768,138
1528,-1777,7751,139.89,16.31,-1.14,1389873,139
1641,-1906,7645,139.03,16.31,-1.74,1399920,140
2055,-1767,7718,138.18,16.31,-2.34,1409737,141
2343,-1477,7798,137.34,16.31,-2.93,1419772,142
2870,-1159,7896,136.51,16.31,-3.51,1429698,143
3509,-918,7698,135.69,16.31,-4.07,1439793,144
3909,-532,7763,134.89,16.31,-4.61,1449894,145
4234,57,7874,134.12,16.30,-5.12,1459668,146
4822,488,7852,133.39,16.25,-5.61,1469760,147
5211,799,7893,132.69,16.20,-6.07,1479593,148
5496,1194,8365,132.03,16.13,-6.51,1489638,149
5887,1449,8666,131.41,16.03,-6.92,1499748,150
6515,1770,8276,130.85,15.91,-7.28,1509806,151
6700,1850,8473,130.33,15.81,-7.62,1519632,152
6422,2192,9078,129.89,15.71,-7.91,1529876,153
6484,2635,8582,129.52,15.56,-8.14,1539675,154
6617,2734,8299,129.23,15.44,-8.33,1549772,155
6041,2806,9166,129.00,15.33,-8.49,1559604,156
5935,3124,8736,128.83,15.24,-8.57,1569668,157
6091,3375,8678,128.73,15.16,-8.61,1579778,158
6280,3596,8634,128.69,15.13,-8.58,1589621,159
5883,3886,8879,128.72,15.12,-8.51,1599757,160
4980,4242,9208,128.82,15.06,-8.40,1609543,161
3957,4464,9405,128.99,14.95,-8.25,1619640,162
2925,4192,10541,129.19,14.77,-8.07,1629912,163
4815,1612,12566,129.41,14.57,-7.87,1639747,164
15412,-5053,3040,129.71,14.53,-7.73,1649818,165
16355,-11659,3073,130.22,15.27,-7.83,1659640,166
-2220,-6844,9929,130.98,16.43,-7.91,1669780,167
-22215,-974,5124,131.77,16.77,-7.73,1679639,168
-11782,624,3976,132.51,15.96,-7.66,1689785,169
3479,-2181,6980,133.16,15.19,-7.62,1699638,170
18680,-2722,4813,133.59,15.59,-7.38,1709497,171
15532,2881,12797,134.04,17.15,-7.02,1719639,172
7384,2149,12310,134.76,18.00,-6.64,1729789,173
1628,-756,7867,135.42,18.11,-6.43,1739676,174
-2589,-182,7137,135.97,18.09,-6.33,1749514,175
-4082,1469,5736,136.51,17.72,-6.19,1759643,176
-1109,1298,4687,137.00,17.15,-6.03,1769507,177
551,862,5463,137.39,17.03,-5.93,1779646,178
-542,311,6166,137.74,17.29,-5.82,1789510,179
-730,84,6004,138.06,17.55,-5.73,1799651,180
1409,825,5372,138.32,17.77,-5.65,1809514,181
3417,1744,5584,138.51,17.96,-5.55,1819660,182
3487,1491,5790,138.70,18.01,-5.46,1829533,183
1749,976,6526,138.90,17.92,-5.41,1839700,184
-434,572,7092,139.09,17.74,-5.38,1849550,185
-1586,939,5994,139.27,17.56,-5.37,1859679,186
-1330,1392,5710,139.42,17.47,-5.37,1869542,187
224,1318,5776,139.54,17.46,-5.37,1879677,188
1966,1080,6031,139.62,17.49,-5.39,1889539,189
2338,855,6158,139.69,17.49,-5.43,1899692,190
1520,901,5767,139.76,17.41,-5.47,1909835,191
540,937,5474,139.84,17.24,-5.52,1919404,192
255,1057,5409,139.90,17.02,-5.57,1929542,193
