xac,yac,zac,xang,yang,zang,tempo,amostra
-9446,7408,9869,-162.57,-33.65,0.43,1,0
-5303,11425,12227,-162.14,-33.15,-0.22,8978,1
-3874,11724,11172,-161.73,-32.56,-0.86,18879,2
-3069,11994,8706,-161.27,-32.06,-1.61,28832,3
-3901,12702,7272,-160.73,-31.62,-2.43,38731,4
-6355,13475,5888,-160.10,-31.21,-3.29,48684,5
-6567,14470,4671,-159.43,-30.75,-4.12,58834,6
-3682,15538,3180,-158.73,-30.11,-4.95,68739,7
-735,15905,1909,-158.00,-29.32,-5.75,78693,8
448,15621,1421,-157.23,-28.41,-6.52,88888,9
-554,14834,233,-156.44,-27.46,-7.29,99606,10
-1886,13788,-1672,-155.73,-26.55,-8.10,108698,11
908,10032,-970,-155.19,-25.61,-8.98,118900,12
4395,5179,2042,-154.76,-24.69,-9.99,128855,13
1670,2696,7309,-154.20,-24.06,-11.23,138768,14
-6064,1472,10922,-153.29,-23.91,-12.65,148719,15
-14282,-186,4398,-151.83,-24.62,-14.08,158647,16
-21269,-3204,-2933,-150.03,-26.00,-15.44,170266,17
-24081,-5924,-5129,-148.46,-27.34,-16.64,178850,18
-24139,-6619,-4619,-147.64,-27.99,-17.53,188769,19
-20543,-4886,-721,-147.74,-27.73,-18.00,198768,20
-13819,-4007,4272,-148.63,-26.66,-18.07,208712,21
-7276,-4630,7499,-149.90,-25.12,-17.88,218700,22
-2811,-5808,9733,-151.24,-23.45,-17.56,228731,23
359,-6569,11863,-152.52,-21.89,-17.16,238726,24
1575,-6248,13176,-153.63,-20.65,-16.70,248727,25
1205,-5461,13193,-154.56,-19.95,-16.19,258725,26
-686,-4794,12143,-155.36,-19.82,-15.61,268723,27
-2740,-4530,10603,-156.09,-20.18,-14.95,278778,28
-5038,-5121,9309,-156.78,-20.91,-14.21,288741,29
-6737,-5416,8074,-157.49,-21.89,-13.40,299425,30
-6682,-5442,7110,-158.22,-23.02,-12.48,308800,31
-5591,-5403,7229,-158.99,-24.25,-11.43,318750,32
-5154,-4793,7433,-159.76,-25.59,-10.25,328743,33
-6170,-3655,7555,-160.53,-27.05,-8.90,338741,34
-7729,-2108,7143,-161.29,-28.58,-7.36,348740,35
-9332,-974,6657,-162.10,-30.10,-5.64,358741,36
-10131,-195,6910,-163.01,-31.50,-3.73,368739,37
-9917,359,7684,-164.07,-32.71,-1.65,378780,38
-8610,740,8881,-165.28,-33.67,0.61,388754,39
-7106,1243,9697,-166.58,-34.41,3.04,398748,40
-6286,2101,9521,-167.95,-34.99,5.60,408751,41
-6670,3286,8584,-169.36,-35.45,8.30,418756,42
-7623,4634,7308,-170.81,-35.79,11.15,428738,43
-8209,5340,6486,-172.33,-35.94,14.13,438759,44
-7915,5701,6160,-173.91,-35.86,17.15,448771,45
-6969,6932,6133,-175.51,-35.55,20.20,458771,46
-6453,8980,6893,-177.09,-35.06,23.26,468772,47
-6826,11017,7862,-178.63,-34.48,26.31,478781,48
-7930,11778,8539,179.90,-33.89,29.29,488778,49
-10010,11891,8495,178.51,-33.33,32.18,498775,50
-13439,11700,8521,177.23,-32.84,34.90,508556,51
-20423,10878,8101,176.11,-32.45,37.34,518548,52
-21517,9815,8634,175.11,-32.04,39.43,528519,53
-20235,7723,9458,174.20,-31.57,41.20,538521,54
-21089,4557,11189,173.45,-31.17,42.58,548526,55
-23192,3297,12595,172.94,-30.93,43.56,558535,56
-25694,3061,12843,172.73,-30.94,44.23,568537,57
-26379,2826,13354,172.81,-31.24,44.62,578621,58
-24129,2504,14538,173.11,-31.73,44.68,588671,59
-20379,2368,15635,173.54,-32.38,44.40,598688,60
-17813,1917,15936,174.10,-33.21,43.84,608689,61
-11738,1681,10007,174.76,-34.31,43.10,618416,62
12107,14855,-11835,175.51,-35.70,43.07,628708,63
-27958,7258,19218,175.23,-35.97,43.62,638425,64
21424,-5797,21224,174.75,-35.14,42.59,648725,65
-13596,-2103,18602,175.21,-35.92,41.35,658508,66
-25995,7888,8030,176.21,-37.68,40.78,668541,67
-27490,6499,-2361,177.86,-40.11,40.64,678640,68
-23448,6210,-360,179.69,-42.25,40.38,688683,69
-11327,1413,6906,-179.05,-43.28,39.59,698700,70
1515,-4408,12215,-178.38,-43.60,38.38,709112,71
4597,-5801,9801,-177.83,-43.85,37.00,718562,72
-4461,-5934,4657,-177.15,-44.35,35.81,728536,73
-12355,-2960,4689,-176.46,-44.94,34.77,738566,74
-13136,69,9192,-175.96,-45.25,33.78,748649,75
-8437,99,10463,-175.63,-45.24,32.82,758392,76
-2184,247,10150,-175.41,-45.01,31.97,768422,77
2001,-436,9733,-175.19,-44.75,31.19,778461,78
1807,-1024,9958,-174.89,-44.58,30.42,788543,79
-2548,-570,8717,-174.48,-44.65,29.71,798589,80
-5307,-584,6850,-173.97,-44.94,29.11,808395,81
-5458,-346,5653,-173.48,-45.25,28.57,818962,82
-6139,-676,5358,-173.03,-45.46,28.01,828436,83
-6764,-827,5317,-172.67,-45.55,27.41,838539,84
-5449,-196,5667,-172.42,-45.48,26.80,848584,85
-2721,29,6810,-172.25,-45.29,26.20,858401,86
-769,396,7798,-172.11,-45.08,25.58,868453,87
-1561,420,8276,-171.92,-44.94,24.95,878563,88
-3849,242,7479,-171.69,-44.90,24.33,888322,89
-5726,143,6660,-171.43,-44.96,23.75,898420,90
-6209,201,6433,-171.20,-44.98,23.18,908464,91
-5275,93,6510,-171.01,-44.94,22.62,918404,92
-4003,179,6787,-170.86,-44.83,22.06,928458,93
-3140,173,6986,-170.72,-44.70,21.51,938264,94
-3148,187,7067,-170.57,-44.60,20.94,948320,95
-3704,300,7395,-170.39,-44.54,20.37,958414,96
-4201,529,7325,-170.19,-44.50,19.81,968465,97
-4438,227,7005,-169.98,-44.48,19.24,978280,98
-4330,299,6776,-169.75,-44.46,18.66,988359,99
-4268,484,6775,-169.51,-44.44,18.06,998422,100
-4420,618,7116,-169.26,-44.42,17.46,1008484,101
-5010,754,7303,-169.01,-44.42,16.85,1018340,102
-5457,838,7285,-168.74,-44.43,16.24,1028428,103
-5704,1105,7217,-168.49,-44.44,15.62,1038250,104
-6010,1103,7255,-168.22,-44.44,15.00,1048434,105
-6130,1236,7089,-167.96,-44.44,14.40,1058260,106
-6077,1210,7074,-167.72,-44.43,13.80,1068333,107
-6105,1225,7176,-167.47,-44.40,13.20,1078449,108
-6105,1435,7272,-167.23,-44.37,12.59,1088303,109
-5982,1481,7337,-166.99,-44.32,12.00,1098345,110
-5950,1445,7423,-166.75,-44.28,11.39,1108450,111
-6368,1446,7313,-166.50,-44.24,10.78,1118672,112
