xac,yac,zac,xang,yang,zang,tempo,amostra
-6180,-29,5777,-149.48,-40.57,21.68,1,0
-4485,-210,6258,-149.37,-40.43,21.29,3860,1
-3482,237,7005,-149.30,-40.24,20.89,13772,2
-3026,475,7425,-149.21,-40.04,20.49,23724,3
-2917,540,7356,-149.09,-39.89,20.08,33630,4
-3037,523,7078,-148.94,-39.79,19.65,43587,5
-3292,526,6653,-148.73,-39.74,19.22,53823,6
-3536,564,6468,-148.49,-39.72,18.75,63611,7
-3770,455,6727,-148.21,-39.75,18.27,73647,8
-4148,624,6856,-147.92,-39.79,17.75,83630,9
-4941,839,7118,-147.60,-39.84,17.22,93612,10
-5405,907,7227,-147.28,-39.92,16.68,103768,11
-5725,832,6883,-146.95,-39.99,16.13,113749,12
-5856,794,6649,-146.63,-40.05,15.58,123737,13
-6227,933,6535,-146.31,-40.12,15.01,133650,14
-6171,1003,6599,-146.02,-40.16,14.45,143612,15
-5813,1504,6655,-145.74,-40.17,13.88,153599,16
-6064,975,6694,-145.47,-40.17,13.30,163611,17
-5552,1118,6770,-145.20,-40.16,12.69,173591,18
-5433,1756,6479,-144.92,-40.14,12.07,183520,19
-5397,1942,6304,-144.63,-40.12,11.44,193759,20
-4988,2047,6767,-144.34,-40.09,10.77,203533,21
-4296,2062,7311,-144.02,-40.02,10.05,214017,22
-4210,2218,7487,-143.68,-39.94,9.27,223660,23
-4441,2227,7559,-143.30,-39.88,8.42,233625,24
-4252,1821,6971,-142.87,-39.84,7.48,243615,25
-3534,2136,7027,-142.38,-39.80,6.42,253615,26
-485,7865,3077,-141.86,-39.79,5.27,263612,27
-6323,7445,-2015,-141.21,-39.98,4.21,273616,28
-9404,7934,4947,-140.48,-40.13,3.03,283618,29
-6618,14953,5448,-139.94,-39.91,1.92,293620,30
-6236,16813,4361,-139.39,-39.60,0.95,303715,31
-4765,16583,4773,-138.84,-39.15,-0.01,313662,32
-1197,16035,7027,-138.35,-38.42,-1.01,323630,33
873,16454,7983,-137.76,-37.60,-2.07,333629,34
1437,16274,7505,-137.04,-36.86,-3.21,343632,35
1698,15247,7423,-136.21,-36.23,-4.44,353631,36
1499,14224,6853,-135.27,-35.69,-5.80,363636,37
1759,12335,6861,-134.27,-35.31,-7.28,373640,38
1274,10062,5926,-133.14,-35.13,-8.87,383635,39
50,6484,5412,-131.83,-35.29,-10.55,393641,40
-4363,846,5408,-130.37,-35.60,-12.34,403682,41
-13550,-1718,5214,-128.82,-35.83,-14.17,413634,42
-15858,2947,1858,-127.48,-35.99,-15.73,423657,43
-6484,2350,5067,-126.84,-35.97,-16.69,433665,44
-3647,-2832,6528,-126.66,-35.50,-17.37,443665,45
-2899,-2569,7842,-126.56,-34.95,-18.00,453659,46
-2077,-1633,7697,-126.52,-34.51,-18.42,463668,47
-3411,-2564,8024,-126.51,-34.10,-18.69,473670,48
-5065,-3345,9014,-126.54,-33.81,-18.85,483663,49
-4822,-2856,8990,-126.66,-33.67,-18.84,493662,50
-4055,-2769,9385,-126.89,-33.61,-18.68,504069,51
-3634,-3245,9696,-127.18,-33.62,-18.38,514017,52
-3634,-3522,9893,-127.54,-33.72,-17.96,523437,53
-4283,-3661,9963,-127.92,-33.95,-17.44,533438,54
-5152,-3798,9905,-128.35,-34.28,-16.79,543439,55
-5953,-3959,9735,-128.88,-34.67,-16.00,553448,56
-6131,-3906,9513,-129.52,-35.12,-15.05,563448,57
-6309,-3747,9588,-130.27,-35.56,-13.93,573453,58
-6702,-3437,9399,-131.14,-35.99,-12.66,583450,59
-7216,-3102,9578,-132.13,-36.38,-11.21,593452,60
-7261,-2739,9539,-133.26,-36.71,-9.59,603481,61
-7049,-2234,9532,-134.52,-36.97,-7.80,613376,62
-7067,-1412,9430,-135.90,-37.14,-5.85,623394,63
-7288,-1048,9470,-137.39,-37.19,-3.74,633404,64
-6835,-703,9509,-138.99,-37.13,-1.52,643423,65
-6264,185,9656,-140.69,-36.95,0.81,653431,66
-6113,932,10005,-142.46,-36.64,3.22,663449,67
-6246,1858,10125,-144.29,-36.23,5.69,673459,68
-6427,2735,10117,-146.15,-35.74,8.22,683467,69
-6312,3699,9857,-148.04,-35.14,10.78,693542,70
-6331,4738,9885,-149.94,-34.47,13.37,703581,71
-6244,6024,10341,-151.85,-33.74,15.97,713316,72
-6614,7281,10495,-153.70,-33.01,18.58,723338,73
-7731,8426,10699,-155.48,-32.38,21.17,733421,74
-9995,8819,10408,-157.08,-31.93,23.71,743396,75
-12978,8920,10056,-158.48,-31.73,26.16,753436,76
-16710,9124,9530,-159.64,-31.76,28.50,763467,77
