xac,yac,zac,xang,yang,zang,tempo,amostra
2419,3486,6959,243,459,-1022,1,0
-3198,3120,8094,222,811,-885,8454,1
-5572,3102,8111,159,793,-831,18310,2
-3938,2406,7958,41,503,-890,28489,3
-4115,2139,8066,-89,166,-961,38332,4
-3154,2201,8132,-179,-93,-956,48168,5
-1565,1792,7040,-174,-161,-910,58219,6
892,1694,6549,-136,-57,-789,68369,7
778,1384,6709,-69,175,-622,78594,8
-682,1641,6577,-35,352,-470,88131,9
-1737,2070,6339,-29,427,-356,98313,10
-2414,2434,6703,-35,407,-293,108183,11
-2819,2432,6707,-44,338,-270,118353,12
-2562,2160,6617,-39,281,-267,128193,13
-2092,1932,6267,-6,290,-280,138362,14
-2554,2014,5681,42,353,-313,148199,15
-2775,2417,5625,112,426,-362,158362,16
-2993,2353,5386,176,473,-425,168205,17
-3093,2056,5659,234,489,-495,178278,18
-2822,2245,5621,285,489,-564,188188,19
-2752,2263,5715,326,476,-632,198472,20
-2856,2373,5792,354,465,-691,208162,21
-2588,2196,6135,374,426,-744,218361,22
-1899,1940,6298,397,380,-787,228318,23
-1460,1924,6405,418,331,-826,238192,24
-1243,1681,6624,431,304,-851,248374,25
-929,1581,6656,433,282,-860,258224,26
-530,1678,6483,430,247,-864,268066,27
-229,1605,6488,415,207,-867,278304,28
-529,1305,6773,399,174,-913,288202,29
749,948,7246,390,121,-832,298048,30
939,748,7466,396,117,-762,308497,31
1543,632,7772,393,134,-715,318368,32
1944,660,8061,398,172,-694,328221,33
1867,442,8225,400,256,-669,338076,34
1376,142,8373,410,333,-636,348260,35
1135,0,8252,423,375,-602,358142,36
1050,-231,7927,431,386,-594,368037,37
1029,-257,7296,454,404,-594,378287,38
1074,-189,7291,479,426,-604,388217,39
885,-452,7391,508,455,-633,398079,40
741,-786,7515,550,481,-670,408971,41
718,-1076,7515,603,495,-717,418212,42
415,-1303,7655,647,496,-784,428213,43
531,-1814,8060,690,498,-856,438088,44
358,-2056,8405,741,493,-931,448287,45
347,-2124,8556,791,479,-1015,458199,46
422,-2044,8929,840,447,-1101,468077,47
13,-2263,8633,894,389,-1186,478027,48
99,-2632,8143,947,299,-1286,488242,49
974,-3440,7532,993,212,-1372,498134,50
1507,-4162,7422,1034,185,-1456,508089,51
2195,-4625,7652,1066,205,-1517,518263,52
2084,-5336,8192,1091,271,-1577,528194,53
618,-6882,8272,1125,309,-1641,538090,54
915,-7509,6966,1168,280,-1666,547996,55
1800,-7077,7385,1146,352,-1773,558228,56
504,-8839,8223,1154,502,-1852,568118,57
-730,-9702,7898,1171,603,-1926,578051,58
-1648,-10449,7180,1144,687,-2022,587940,59
-2896,-11502,7162,1107,800,-2098,597882,60
-4688,-12648,6440,1079,911,-2130,608655,61
-7196,-14143,3581,1071,1088,-2106,618176,62
-8486,-14675,-797,1024,1362,-2037,628092,63
-7070,-12052,-733,938,1557,-2051,638011,64
-2195,-8888,540,879,1355,-2171,647937,65
7785,-7795,5404,799,637,-2479,657889,66
9199,-8013,5138,761,-259,-2787,668116,67
3711,-6084,5488,707,-441,-2697,678146,68
3674,-2866,7083,707,-181,-2404,688098,69
3481,-838,8075,724,123,-2119,698037,70
864,527,8244,744,165,-1856,707954,71
-676,1556,8601,713,101,-1601,718117,72
-869,3754,7092,645,86,-1368,728073,73
-993,8020,5963,595,97,-1094,737982,74
-1058,11539,6235,495,255,-746,747936,75
798,12219,6787,338,506,-379,757914,76
5380,9328,8467,141,651,-139,767851,77
5590,8317,8585,22,456,-16,778192,78
1332,8476,9081,-53,257,321,787785,79
-97,9967,10074,-133,226,704,798064,80
202,12087,9263,-242,303,961,807978,81
431,13137,9119,-378,390,1163,818395,82
369,13517,7056,-516,466,1364,827980,83
-721,13029,7542,-754,496,1541,837939,84
-3014,12204,7522,-839,382,1802,847916,85
-4008,11481,6887,-1000,127,2034,857869,86
-5251,9975,7886,-1169,-243,2284,867807,87
-4192,9109,7723,-1309,-607,2575,877773,88
-1961,7739,7809,-1434,-937,2754,887793,89
-1081,6454,7918,-1526,-1211,2884,897772,90
-110,4451,8180,-1608,-1379,3048,907745,91
983,2867,7804,-1657,-1455,3216,917870,92
926,1210,7564,-1710,-1476,3372,927612,93
902,-804,7360,-1757,-1432,3555,937726,94
1126,-3477,7931,-1796,-1334,3739,947853,95
1869,-5969,7746,-1819,-1209,3908,957706,96
2980,-7639,7735,-1841,-992,4035,967850,97
3405,-8726,7486,-1831,-688,4161,977761,98
3867,-9647,7222,-1837,-403,4311,987589,99
3641,-11139,7121,-1845,-147,4421,997714,100
3782,-13088,7157,-1838,74,4503,1007566,101
4761,-13817,7668,-1835,224,4530,1018051,102
5707,-14772,8017,-1846,295,4477,1027709,103
6685,-15800,8328,-1852,283,4368,1037573,104
7438,-16504,8585,-1856,158,4213,1047720,105
9131,-16228,8697,-1840,-22,4007,1057724,106
10696,-15003,9942,-1800,-186,3746,1067578,107
13513,-13427,10185,-1755,-290,3461,1077780,108
16073,-12529,12581,-1709,-344,3095,1087608,109
18039,-10754,14471,-1631,-335,2700,1097755,110
21323,-8569,16557,-1529,-353,2279,1107612,111
25764,-6122,18595,-1334,-282,1775,1117759,112
28203,-4097,21822,-1067,-71,1142,1127478,113
26414,-3514,22929,-691,151,457,1137607,114
21953,-2114,21562,-295,98,-236,1147461,115
14139,-4408,14570,-53,-226,-880,1157598,116
12330,-2811,20648,109,-830,-1261,1167762,117
5997,-779,12026,355,-1494,-1824,1177796,118
-23550,3561,-8018,188,-2199,-1932,1187629,119
31781,-520,22631,-125,-2609,-1328,1197474,120
-23045,663,19842,128,0,-73,1207613,121
19547,-10708,11297,142,-709,-1408,1217473,122
13461,-8716,12860,-99,-2867,-2177,1229022,123
3985,1707,335,-276,-1764,-1760,1237479,124
6971,-4137,1531,-574,-925,-1651,1247617,125
3187,-8055,5755,-316,-1188,-1887,1257483,126
-782,-599,10889,-9,-1178,-1676,1267634,127
-1562,5223,9694,138,-558,-1578,1277496,128
2886,6159,5939,254,77,-1300,1287635,129
4707,3405,5720,258,604,-1057,1297794,130
-1561,2417,7294,327,1148,-863,1307657,131
-5409,3489,7191,276,1344,-817,1317505,132
-7787,3079,8396,130,999,-876,1327479,133
-6288,3107,7864,26,504,-904,1337613,134
-4376,3055,8018,-39,206,-951,1347489,135
-2956,2450,7822,-56,111,-924,1357360,136
-1261,1626,7528,-60,125,-823,1367504,137
-977,1372,7117,-42,261,-711,1377381,138
-1949,2096,6182,-3,417,-590,1387341,139
-2494,2804,6227,26,462,-496,1397497,140
-3049,2628,6846,29,443,-451,1407368,141
-3336,2410,6526,31,413,-440,1417518,142
-3135,2238,6044,66,398,-453,1427848,143
-3025,2089,5746,110,406,-483,1437538,144
-2966,2254,5332,168,426,-515,1447430,145
-2865,2384,5181,232,442,-558,1457345,146
-2662,2263,5486,290,478,-586,1467522,147
-2588,1997,6154,334,502,-619,1477617,148
-2880,1964,6249,366,509,-665,1487519,149
-2856,1963,6546,387,478,-709,1497399,150
-2871,1899,6371,414,435,-757,1507309,151
-2592,2121,6094,430,375,-791,1517505,152
-1748,1882,5998,446,322,-821,1527399,153
-1040,1752,6202,456,304,-837,1543748,154
-626,1451,6261,465,325,-842,1547416,155
-620,1270,6775,466,344,-836,1557338,156
-398,950,7068,457,345,-833,1567242,157
-258,775,7430,444,342,-813,1577422,158
472,545,7751,433,342,-787,1587373,159
1254,521,7637,438,349,-756,1597257,160
57,323,7710,437,367,-786,1607467,161
1109,303,7784,436,385,-688,1617388,162
1177,116,7790,439,418,-617,1627296,163
872,-147,7707,446,466,-590,1638945,164
882,-396,7867,457,506,-581,1647433,165
673,-413,8070,469,524,-588,1657369,166
503,-532,8183,491,542,-596,1667277,167
215,-420,8100,527,538,-619,1677285,168
-215,-283,7996,563,529,-660,1687245,169
-126,-385,7838,602,497,-726,1697175,170
-180,-646,7623,652,465,-794,1707403,171
110,-1054,7561,696,429,-876,1717336,172
-15,-1522,7923,742,400,-956,1727272,173
154,-1991,8201,794,373,-1034,1737388,174
88,-2324,8532,839,345,-1118,1747293,175
276,-2570,8872,886,310,-1197,1757245,176
112,-2948,9062,942,280,-1275,1767186,177
155,-3473,9175,991,225,-1345,1777123,178
289,-4073,8276,1044,165,-1412,1787405,179
573,-4646,7394,1077,112,-1478,1797368,180
1482,-4572,7413,1094,82,-1547,1807287,181
2528,-5135,8013,1110,143,-1595,1817252,182
2301,-5737,8489,1136,295,-1618,1827210,183
1471,-6154,8382,1162,445,-1661,1837461,184
310,-7560,8032,1185,560,-1666,1847132,185
-234,-7806,6578,1209,637,-1739,1857388,186
-294,-7949,6982,1171,768,-1848,1867323,187
-2111,-10102,7077,1166,933,-1930,1877281,188
-4363,-11475,5941,1170,1125,-1990,1887286,189
-6429,-12736,3065,1166,1304,-2020,1897263,190
-10817,-14719,568,1176,1568,-2027,1907538,191
-10558,-14680,-2736,1173,1579,-2051,1917208,192
-7004,-13661,-1887,1061,1249,-2284,1927207,193
6212,-13775,4186,958,350,-2665,1937163,194
8808,-14349,2103,832,-699,-3231,1947163,195
4143,-11032,2291,685,-864,-3155,1957144,196
3167,-5696,5859,659,-456,-2837,1967139,197
3238,-2444,8317,737,95,-2499,1977137,198
865,-843,6483,767,338,-2172,1987147,199
-2773,-100,6413,713,251,-1844,1997143,200
-3374,1738,8928,641,179,-1534,2007136,201
-2516,7377,6439,634,232,-1188,2017139,202
-2930,12630,6931,560,411,-824,2027144,203
-1794,14668,9280,424,761,-360,2037142,204
4893,9560,9124,271,1024,-57,2048490,205
7405,7915,10266,145,880,-72,2057043,206
2825,8966,8894,81,539,203,2067026,207
-146,10658,9787,-33,259,600,2077028,208
215,12268,9190,-159,138,898,2087031,209
1399,13355,9434,-311,118,1114,2097032,210
1209,13628,9674,-431,147,1292,2107039,211
138,14192,7442,-509,99,1496,2117045,212
360,14666,3474,-737,50,1686,2127043,213
-3077,11759,8587,-1038,-30,1833,2137037,214
-4927,11520,5768,-1070,-227,2204,2147052,215
-6083,10037,8132,-1299,-670,2414,2157146,216
-5475,8116,7716,-1405,-1141,2727,2167166,217
-1806,6443,6844,-1518,-1445,2995,2177022,218
-618,4143,8821,-1583,-1582,3091,2187049,219
428,2190,9515,-1573,-1559,3222,2197061,220
2321,752,8251,-1568,-1496,3366,2207061,221
2431,-732,7746,-1586,-1461,3478,2217062,222
1993,-2920,7851,-1612,-1352,3660,2227063,223
1773,-5266,7908,-1656,-1242,3861,2237063,224
1822,-6831,7435,-1685,-1067,4043,2247131,225
3015,-7777,6526,-1687,-868,4202,2256962,226
4857,-8121,6178,-1712,-621,4347,2266983,227
5470,-9197,5385,-1762,-334,4446,2277031,228
4953,-10524,5300,-1815,-112,4498,2287063,229
4482,-12193,5553,-1853,54,4532,2297084,230
4553,-13334,5668,-1881,186,4542,2307088,231
4747,-14302,6392,-1912,252,4503,2317088,232
5510,-15676,7194,-1923,268,4402,2327090,233
6801,-16595,7697,-1920,208,4254,2337091,234
8630,-16995,8728,-1889,112,4083,2347768,235
10808,-15827,9625,-1819,69,3870,2356975,236
12660,-14216,10698,-1754,122,3594,2367039,237
15242,-12645,12140,-1714,158,3263,2377084,238
17520,-10659,13665,-1700,92,2852,2386809,239
22383,-8969,16382,-1656,-11,2410,2396855,240
28616,-6611,20793,-1472,88,1845,2406921,241
31205,-5070,25170,-1126,377,1126,2416954,242
26750,-4043,25190,-632,528,376,2427076,243
21337,-2636,24364,-172,369,-360,2436810,244
15505,-1517,21311,114,-146,-1007,2446867,245
