xac,yac,zac,xang,yang,zang,tempo,amostra
381,326,7679,224,286,-314,1,0
494,451,7625,231,287,-330,9608,1
348,623,7483,244,288,-351,19771,2
658,556,7486,260,299,-378,29606,3
605,297,7599,287,310,-401,39773,4
529,64,7140,324,326,-462,49610,5
568,-131,7737,350,336,-496,59630,6
1064,-199,8415,379,325,-472,69783,7
896,-348,8674,414,350,-500,79618,8
247,-361,8129,459,353,-567,89527,9
338,-257,8087,499,338,-644,99750,10
384,-522,8590,528,314,-722,109636,11
518,-1018,8580,568,288,-781,119795,12
1237,-1353,8949,601,262,-821,129631,13
1415,-1776,9156,638,255,-860,139477,14
1684,-1998,9647,668,280,-887,149635,15
1463,-2239,9769,709,317,-919,159479,16
1356,-1893,9687,767,335,-955,169640,17
1250,-2038,9731,801,327,-1005,179482,18
1208,-2417,9230,841,290,-1063,190226,19
1495,-2812,8661,883,249,-1105,199711,20
2286,-3300,8990,890,233,-1161,209644,21
2408,-4049,9524,899,271,-1214,219488,22
2742,-4522,9644,922,329,-1251,229660,23
1869,-5205,10239,943,400,-1305,239510,24
573,-8538,10509,990,435,-1358,249691,25
-384,-11242,7521,1073,416,-1417,259367,26
657,-10870,6353,1074,452,-1538,269393,27
865,-11966,7656,1052,605,-1660,279401,28
-789,-13692,8586,1045,839,-1772,289403,29
-2978,-14299,8696,1007,1093,-1848,299527,30
-5740,-14248,8382,968,1248,-1888,309280,31
-8395,-14403,6898,912,1347,-1865,319309,32
-10432,-14001,3594,866,1355,-1832,329372,33
-9845,-9739,786,762,911,-1885,339403,34
-2107,-6932,3439,607,35,-2123,349414,35
9999,-8038,5111,645,-953,-2626,359414,36
9889,-8052,2412,663,-1562,-2933,369417,37
7824,-5785,3413,593,-1410,-2734,379435,38
9652,-4292,5347,619,-1068,-2495,389207,39
10055,-1777,5259,714,-614,-2254,399320,40
3393,2240,5385,752,83,-1800,409287,41
-3674,6906,1680,717,970,-1226,419317,42
-11796,10178,4388,579,1470,-807,429388,43
-9270,12112,2925,422,1555,-446,439424,44
-7188,12032,2697,185,1095,-301,449177,45
-10351,12254,4883,12,776,77,459251,46
-9514,12624,5037,-148,699,535,469286,47
-7574,12520,5126,-342,529,830,479356,48
-6060,12229,5592,-509,263,1070,489120,49
-4189,11298,5849,-659,39,1311,499203,50
-2603,10045,5704,-781,-93,1534,509292,51
-1967,9801,5096,-900,-165,1767,519368,52
-2028,8635,5192,-1029,-239,2008,529137,53
-1770,7739,5558,-1143,-324,2230,539191,54
-1172,6401,6104,-1242,-399,2431,549266,55
-474,5363,6884,-1325,-430,2614,559299,56
220,4329,7112,-1397,-431,2774,569375,57
705,3051,7285,-1469,-420,2922,579143,58
920,1319,8174,-1530,-378,3079,589192,59
1918,-751,8793,-1565,-293,3219,599752,60
3060,-2308,8596,-1595,-218,3333,609298,61
3233,-4009,8489,-1626,-128,3459,619087,62
2848,-5538,7981,-1665,-5,3609,629154,63
2241,-6581,7716,-1720,85,3752,639246,64
2163,-7637,7399,-1792,129,3853,649304,65
2066,-9271,7603,-1861,116,3917,659110,66
2680,-10346,8146,-1894,140,3971,669169,67
3358,-11378,8773,-1912,217,3996,679282,68
3233,-12581,9039,-1899,277,3983,689084,69
3212,-13139,8940,-1905,234,3914,699158,70
2975,-14078,9309,-1920,94,3819,709139,71
4234,-14636,9730,-1905,-138,3708,719210,72
7044,-14214,10031,-1874,-380,3565,729012,73
10045,-12874,10003,-1859,-597,3353,739097,74
12417,-12381,11530,-1844,-751,3071,749171,75
13960,-11496,13651,-1777,-775,2771,759049,76
14359,-9725,15357,-1681,-782,2475,769156,77
16142,-8419,16871,-1592,-861,2139,778981,78
18539,-6832,18774,-1447,-809,1714,789051,79
22251,-5177,20242,-1209,-635,1273,799159,80
22649,-3799,21852,-893,-419,763,809034,81
19536,-1321,21905,-541,-318,254,819159,82
15526,-145,20408,-267,-473,-296,829006,83
12625,-2176,16978,-81,-870,-795,839126,84
10931,-1976,20792,40,-1288,-1179,849195,85
11444,-1637,19177,259,-1683,-1675,859022,86
4555,561,10588,292,-2174,-1981,869159,87
-23764,2735,-5343,118,-2405,-1936,879015,88
31271,-124,24452,-64,-2299,-1246,889152,89
-13556,-432,17384,178,22,-570,899002,90
21127,-10207,4228,133,-704,-1708,909035,91
12431,-10351,6358,-19,-2317,-2253,918930,92
8730,2122,1046,-86,-1299,-1716,929039,93
4205,-4013,7004,-182,-399,-1806,939168,94
-2302,-5393,9343,114,-610,-1936,949026,95
-1240,1971,10563,301,-483,-1697,958875,96
-662,4011,6742,425,137,-1646,969030,97
211,6334,4529,456,398,-1520,979165,98
-2127,3901,5870,456,549,-1382,989024,99
-2640,3515,7321,485,628,-1151,998875,100
-3950,2771,9930,381,533,-1096,1008918,101
-4886,1224,10408,297,309,-1109,1018966,102
-2862,1520,9694,205,22,-1105,1029069,103
-1631,610,10599,109,-121,-1070,1038917,104
-1305,394,9350,80,-123,-1004,1049056,105
-1593,564,7713,99,-40,-911,1058855,106
-1434,1580,6975,145,41,-804,1068981,107
-1481,2005,6642,156,114,-733,1079081,108
-1929,2030,6704,168,110,-675,1088922,109
-2254,1632,7013,161,67,-616,1099059,110
-1999,1358,7286,159,17,-575,1108934,111
-1489,1307,7467,156,-33,-527,1118844,112
-1085,1176,7673,153,-34,-492,1128964,113
-668,929,8377,154,22,-426,1138799,114
-563,484,8837,172,110,-366,1148929,115
-1044,509,8678,174,203,-309,1158780,116
-1400,1017,8054,159,282,-274,1168924,117
-1632,1299,8072,132,308,-255,1179068,118
-1751,1294,7666,117,310,-246,1188935,119
-1642,961,7845,103,306,-242,1198796,120
-1747,1043,7765,119,301,-248,1208949,121
-1622,1290,7653,128,299,-255,1219305,122
-1508,1113,7145,139,267,-282,1228915,123
-1642,991,7098,157,254,-313,1238794,124
-1582,1351,6836,185,269,-341,1248941,125
-1819,1301,6918,209,262,-395,1258936,126
-1810,706,7430,232,258,-447,1268809,127
-1364,334,7743,245,236,-492,1278956,128
-955,409,7762,257,220,-518,1288816,129
-772,748,7347,275,220,-538,1298669,130
