xac,yac,zac,xang,yang,zang,tempo,amostra
-8863,3061,5519,-407,-99,-1111,0,0
-7480,3490,3859,-308,16,-1078,7696,1
-4589,3358,3732,-194,186,-954,17501,2
-2870,3094,4348,-33,321,-832,27659,3
-3395,2550,5717,66,509,-748,37490,4
-5424,2873,6213,125,639,-713,47655,5
-6041,2892,7012,104,700,-756,57360,6
-7562,2539,8066,58,587,-918,67507,7
-7529,3287,7495,-1,495,-1062,77665,8
-7717,3125,5832,-57,404,-1199,87495,9
-5883,3721,4810,-103,284,-1321,97667,10
-3748,2894,5792,-120,186,-1425,107349,11
-2269,2029,5953,-107,134,-1393,117506,12
-1441,924,7164,-64,263,-1321,127669,13
-1238,160,6977,-7,409,-1229,137502,14
-1604,453,7445,-3,569,-1178,147670,15
-2463,1205,6699,9,670,-1165,157502,16
-2576,1592,6207,-28,646,-1173,167341,17
-2010,1692,5625,-48,580,-1203,177504,18
-1043,1719,5522,-70,485,-1210,187626,19
-626,1316,5812,-85,446,-1193,197629,20
-38,1258,6068,-90,496,-1164,207499,21
229,1538,6073,-92,560,-1135,217356,22
-398,1091,5688,-97,602,-1122,227535,23
-1384,531,5424,-97,591,-1148,237365,24
-1135,652,4898,-85,595,-1180,247549,25
-843,715,4401,-79,644,-1241,257550,26
-1255,613,4362,-82,718,-1291,267376,27
-1752,318,6597,-59,780,-1371,277574,28
-1307,-951,8545,-9,725,-1437,287453,29
-1873,-3092,7067,7,575,-1664,297349,30
-3102,-3983,7395,15,364,-1821,307348,31
-3395,-4339,8095,-17,261,-2009,317541,32
-1744,-4335,9984,-43,189,-2152,327381,33
-635,-4832,9947,-34,89,-2333,337256,34
-1943,-6004,7233,10,-11,-2553,347492,35
-3795,-7077,3910,57,-82,-2725,357368,36
-5895,-9175,1624,83,-18,-2825,367568,37
-7050,-11769,213,161,64,-2883,377453,38
-7747,-13512,1493,119,334,-2920,387353,39
-5317,-14127,3795,59,882,-2751,397231,40
-8695,-18412,6495,205,1505,-2693,407461,41
-18345,-19297,4833,512,2206,-2724,417360,42
-26231,-23001,5164,442,2904,-2476,427235,43
-26869,-25413,5641,746,3292,-2023,437463,44
-19819,-19072,4382,857,3302,-2317,447367,45
-15947,-15705,2603,691,1988,-3060,457241,46
-7920,-6883,5107,505,671,-2906,467158,47
-4381,2659,4891,408,212,-2516,477379,48
-5817,9683,7154,257,-20,-2353,487266,49
-5726,9923,10327,140,-156,-2174,497190,50
-2348,10234,8822,32,-264,-1744,507380,51
8863,6362,4426,-114,-95,-1218,517230,52
9798,2456,7816,-1,-34,-850,527131,53
-3196,9302,13410,411,-270,113,537376,54
-5571,14784,13871,514,249,837,547272,55
-6954,18090,12044,580,941,1205,557209,56
-6389,17890,12222,441,1083,1746,567426,57
-4484,18029,10834,341,674,2177,577368,58
-5174,15485,10198,207,0,2402,587266,59
-5199,13181,9614,80,-661,2636,597209,60
-4111,10984,10428,-20,-1130,2979,607989,61
-1946,9733,11356,-32,-1386,3298,617134,62
-612,8267,12184,25,-1553,3538,627381,63
-332,6827,12810,138,-1584,3802,637286,64
-102,5963,12452,263,-1562,4114,647230,65
-258,5193,11630,363,-1535,4400,657148,66
-93,4350,11377,440,-1509,4647,667077,67
-1322,2705,10708,482,-1515,4891,677359,68
-1533,1666,9317,488,-1539,5118,687359,69
-1657,191,9163,445,-1620,5280,697269,70
-2724,-2208,8611,433,-1821,5403,707232,71
-3645,-4640,8174,454,-2085,5551,717320,72
-4359,-7523,7496,470,-2287,5733,727246,73
-5499,-11909,5443,483,-2308,5936,737190,74
-8529,-18710,1031,493,-2351,6240,747108,75
-7190,-27347,-4011,335,-2369,6717,757071,76
-830,-32697,-7543,133,-2171,6972,767040,77
12579,-32496,-9670,160,-1952,6526,777290,78
25820,-32308,-9384,264,-1473,5168,787251,79
31096,-24186,-9285,233,-473,4060,797232,80
31086,-14877,5363,136,1471,3260,807181,81
31251,-4170,5848,329,3387,2921,817117,82
31553,1585,3769,806,4773,2391,827095,83
31834,847,-11990,957,4381,593,837416,84
9492,-4214,-14641,555,3439,-629,847068,85
10897,2391,-10978,-139,1936,-1639,857101,86
-5925,-1155,-8542,-418,289,-3042,867092,87
-19732,956,4421,35,-2798,-2917,877083,88
31810,-2129,24660,-383,-3843,-1792,887084,89
31774,1174,14035,-708,-1139,365,897087,90
-20349,2262,6510,-841,1866,503,907084,91
181,-3573,18875,-1221,1823,-219,917018,92
19912,-10781,6972,-1030,375,-1336,926896,93
23701,-18335,11376,-996,63,-3325,937199,94
11468,-21982,6863,-705,-616,-3950,947144,95
8077,-11469,2765,-1273,-763,-2531,957121,96
7220,-4784,16355,-947,-413,-1610,967114,97
-710,815,49,-374,111,-1292,977114,98
-1607,5343,2927,-457,409,-837,987110,99
-4660,5143,9555,-205,949,-540,997111,100
-6147,3954,3730,-239,946,-481,1007115,101
-6803,3508,4304,-339,591,-536,1017653,102
-7007,3629,6394,-274,331,-692,1026987,103
-6346,2294,5693,-269,270,-879,1036885,104
-4074,733,6551,-250,248,-875,1047112,105
-1461,1731,6398,-175,313,-793,1057107,106
-1922,1615,5535,-144,509,-723,1067023,107
-3210,2182,4140,-5,617,-684,1077061,108
-4462,3164,5041,22,690,-671,1086976,109
-6039,3895,5996,53,751,-705,1096868,110
-7631,3917,6280,48,762,-835,1107106,111
-8038,4116,5491,4,683,-979,1117028,112
-8072,4357,4723,-32,592,-1102,1128296,113
-5821,4658,4133,-54,487,-1164,1136894,114
-2961,2963,4990,-92,388,-1217,1146793,115
-1014,1684,5487,-90,290,-1244,1157124,116
-923,1123,6148,-49,248,-1259,1167042,117
-582,760,6738,-38,351,-1232,1176975,118
-704,859,6633,12,505,-1191,1186868,119
-250,1626,6240,22,564,-1151,1196744,120
5102,283,10552,-17,1231,-1236,1206914,121
8970,4323,8566,235,1495,-1146,1216782,122
-17261,-2320,-6724,178,2619,-1155,1228202,123
-1310,3052,10607,-89,-284,-1177,1236804,124
-5065,1081,3748,5,159,-1575,1246795,125
748,1813,6291,-98,292,-1311,1256778,126
3829,-54,6538,-117,267,-1225,1266760,127
2061,124,6050,-89,534,-1211,1277258,128
882,661,4418,-83,687,-1173,1286708,129
445,799,3808,-64,744,-1170,1296712,130
321,738,4884,-45,823,-1185,1306711,131
-626,676,7328,-7,876,-1199,1316716,132
1338,570,6777,14,808,-1300,1326605,133
-655,-107,7747,31,676,-1499,1336655,134
-2583,-2095,6231,42,560,-1681,1346656,135
-2790,-4524,5874,48,434,-1857,1356668,136
-2521,-5273,7233,12,397,-2010,1366672,137
-1226,-4956,9135,-2,414,-2157,1376677,138
