xac,yac,zac,xang,yang,zang,tempo,amostra
-7390,10379,10252,59,-188,2489,1,0
-4896,8779,10571,-44,-743,2710,10976,1
-2558,6728,10519,-102,-1240,2897,20779,2
-1030,5088,10704,-114,-1662,3048,30935,3
-684,4038,10668,-91,-1977,3196,40760,4
-407,2709,10286,-62,-2186,3335,50867,5
130,1551,9862,-16,-2365,3486,60817,6
1140,124,9491,26,-2487,3617,70972,7
1768,-1540,8591,103,-2534,3729,80783,8
1054,-2375,7343,202,-2709,3825,90948,9
3675,-3969,9832,398,-2841,3812,100868,10
1869,-5051,2489,581,-2398,3834,110736,11
3251,-5677,6006,633,-2309,3936,121054,12
1168,-6436,2114,763,-2027,3990,130925,13
1764,-7533,1773,830,-2072,4027,140777,14
808,-8524,42,878,-2020,4005,150807,15
1493,-9320,77,866,-1841,4070,160980,16
2708,-9917,706,879,-1479,4125,170868,17
4534,-10499,677,892,-971,4158,180750,18
4446,-11392,177,879,-456,4190,191130,19
4258,-12198,-2583,831,-5,4250,200732,20
2281,-13236,-4359,628,304,4519,210934,21
6725,-12980,3307,446,1042,4389,220793,22
11552,-16690,6333,435,1547,4025,230970,23
15926,-14750,4596,414,1965,3543,240803,24
19065,-10328,4837,525,2306,3263,250796,25
22212,-4831,4160,417,2485,3107,260644,26
23277,-3694,5718,285,2469,2697,270815,27
19109,-1383,1566,257,2388,2164,280669,28
16168,255,1064,84,1748,1492,291648,29
15933,1244,3321,-45,981,745,300819,30
8214,-1262,1296,-222,292,34,310683,31
9993,1903,1724,-381,-318,-568,320891,32
10360,-186,1072,-609,-574,-1145,330784,33
13619,-1729,2413,-865,-716,-1523,340977,34
6611,-5663,16567,-763,-1019,-1852,350825,35
-7629,-3047,16212,-315,-1481,-1727,360717,36
-16883,-3073,11907,-399,-1476,-1212,370693,37
-22181,-2643,11645,-542,-1156,-561,380603,38
-14271,-3277,18300,-761,-468,-181,390826,39
4759,-7117,21945,-828,-20,-1151,402250,40
9030,-6793,19529,-408,-77,-1904,410818,41
-553,-5712,11705,-305,219,-1699,420699,42
-1257,681,-67,-529,189,-1097,430618,43
-4358,1316,-1526,-749,138,-1198,440825,44
-8663,2422,765,-743,-71,-1156,450716,45
-7693,3358,135,-736,-378,-1131,460634,46
-8030,3054,4220,-534,-343,-1243,470512,47
-6333,2981,5352,-225,206,-1127,480774,48
-2447,1916,8025,-250,556,-922,490725,49
-2694,226,12343,-173,863,-856,500542,50
-4549,143,9015,-207,858,-942,510783,51
-5605,466,7849,-313,541,-1119,520670,52
-4955,1081,6575,-417,199,-1254,530582,53
-3992,957,5536,-461,10,-1284,540504,54
-3238,878,6130,-420,96,-1200,550759,55
-2944,1871,4467,-251,274,-1072,560668,56
-3677,2506,4006,-115,465,-946,570569,57
-4185,2254,4088,3,617,-842,580497,58
-4691,2082,4796,91,643,-810,590743,59
-5336,2636,5329,136,593,-806,600647,60
-4789,2423,6336,123,495,-831,610745,61
-4198,1333,7744,97,445,-911,620742,62
-3672,438,7507,71,375,-966,630671,63
-3200,800,6883,57,345,-1022,640575,64
-3266,1594,6276,62,341,-1051,650522,65
-3758,2094,5954,64,312,-1070,660482,66
-3446,1962,5970,64,344,-1079,670725,67
-2462,1520,6037,72,389,-1056,680672,68
-2285,1411,6261,86,418,-1048,690592,69
-1975,1559,6485,83,460,-1041,701204,70
-1475,1222,6963,61,496,-1038,710470,71
-911,1161,6877,48,521,-1046,720378,72
-155,1004,6708,28,532,-1031,730667,73
-397,1216,6922,28,588,-1019,740584,74
-365,1089,6488,22,574,-1013,750533,75
14,1358,6143,0,577,-1018,760511,76
433,1260,6274,-22,599,-1002,770474,77
320,1380,5991,-19,606,-1001,780405,78
639,1549,5975,-20,622,-990,790355,79
381,1388,5313,-33,656,-982,800363,80
109,1086,5786,-42,667,-981,814528,81
297,583,5961,-47,716,-1035,820535,82
-98,107,6221,-43,774,-1118,830511,83
-1582,-605,6909,-21,779,-1200,840485,84
-2446,-1650,9266,12,686,-1290,850424,85
-1420,-1741,8546,-13,557,-1498,860373,86
-1618,-1114,9283,-46,370,-1666,870172,87
-899,-1241,7975,-76,175,-1873,880378,88
-565,-2433,6369,-65,7,-2061,890324,89
-391,-3879,5420,-28,-37,-2189,900263,90
-369,-6649,5663,44,46,-2325,910277,91
-1757,-8800,5811,174,190,-2469,920251,92
-3628,-10183,5471,336,240,-2644,930197,93
-7909,-12512,4029,489,141,-2793,940431,94
-9912,-13999,-709,504,42,-2847,950390,95
-8596,-17242,3962,242,277,-2793,960336,96
-8781,-19414,4910,156,820,-2606,970290,97
-11809,-15076,7814,246,1051,-2636,980242,98
-18218,-11896,9138,134,1586,-2613,990174,99
-10434,-9316,6541,176,1889,-2441,1000133,100
-230,-5685,3211,205,1400,-2591,1010156,101
9562,-2832,3393,-53,600,-2764,1020226,102
6331,831,4582,-90,290,-2791,1030172,103
-3364,5250,8641,106,291,-2195,1040138,104
-11538,9667,9202,178,1205,-1622,1050107,105
-16189,10379,12605,214,1808,-892,1060350,106
-13079,11486,11288,291,1971,-241,1070228,107
