xac,yac,zac,xang,yang,zang,tempo,amostra
795,-1243,9033,-354,-578,-324,1,0
85,-741,8709,-311,-408,-391,8475,1
-1431,-335,7495,-309,-337,-425,18440,2
-3210,-823,6219,-304,-375,-444,28442,3
-3856,-1030,5541,-305,-492,-433,38445,4
-2874,-958,5145,-311,-600,-419,48447,5
-2158,-768,5490,-332,-627,-435,58193,6
-2391,-550,5747,-345,-615,-468,68494,7
-2099,-268,5729,-353,-631,-501,78449,8
-2005,41,6398,-361,-654,-548,88450,9
-1565,638,6432,-371,-661,-601,98109,10
-1331,798,7116,-389,-623,-658,108432,11
-1830,767,6655,-416,-600,-742,118111,12
-2416,112,5608,-448,-589,-799,128114,13
-2494,652,5086,-494,-623,-874,138118,14
-2264,1125,5228,-536,-663,-937,148117,15
-1575,1612,5473,-578,-669,-1028,158121,16
-524,2164,6740,-639,-646,-1124,168193,17
-24,4281,6148,-712,-601,-1245,178158,18
248,4474,5961,-799,-541,-1364,188158,19
452,4518,4872,-872,-458,-1523,199610,20
1802,5587,5291,-934,-418,-1702,208161,21
3134,5670,6836,-1004,-296,-1911,218155,22
3245,6641,8089,-1095,-108,-2123,228157,23
2078,6238,8166,-1177,63,-2367,238128,24
1681,6954,6458,-1267,153,-2580,248637,25
794,9598,3311,-1354,263,-2791,258320,26
164,13378,-1691,-1449,292,-3004,268345,27
0,16499,-6023,-1510,217,-3232,278334,28
710,18998,-8174,-1483,-20,-3476,288333,29
2528,21934,-7517,-1400,-342,-3680,298335,30
4807,24928,-6135,-1253,-718,-3831,308156,31
6875,27596,-3521,-1060,-1068,-3932,318166,32
6181,27962,-1003,-923,-1547,-3885,328167,33
9198,27502,464,-1010,-2018,-3726,338169,34
9911,26322,884,-1293,-2219,-3557,348159,35
10526,20261,-56,-1643,-2389,-3139,358166,36
9893,8007,-2051,-1863,-2756,-2622,368215,37
11028,-2701,2525,-1667,-3017,-2181,378180,38
-1809,-9926,10882,-1419,-2741,-1989,388181,39
-18524,-22869,10171,-964,-959,-1386,398167,40
-24271,-11200,16638,-718,268,-928,408695,41
-11595,-1563,7481,-283,1692,-447,418010,42
7767,-5228,-339,-200,1158,829,428000,43
20707,-10798,1620,-287,50,1870,437997,44
9521,-12572,9461,-141,78,2142,448001,45
1811,-15361,6945,181,534,2175,458001,46
-2666,-16052,5781,534,794,2318,468062,47
-5129,-15224,5352,846,863,2680,478045,48
-5324,-12855,5117,1097,789,3171,488040,49
-3875,-10707,5346,1242,665,3636,498041,50
-1646,-9629,6655,1294,523,4054,508030,51
-754,-9635,7813,1362,440,4385,517919,52
-479,-9142,7523,1461,415,4701,528255,53
-271,-7757,7372,1582,469,4944,537920,54
-756,-6501,7164,1721,563,5134,547998,55
-2445,-5271,7705,1892,617,5322,558032,56
