xac,yac,zac,xang,yang,zang,tempo,amostra
-18336,6545,19304,1312,405,1964,1,0
-22354,3740,22776,848,627,1398,4131,1
-23213,631,21398,419,634,591,14096,2
-18855,3247,17312,66,628,-271,24366,3
-10640,7267,15946,-127,781,-1014,34267,4
-9692,1052,22342,-788,1400,-1930,44236,5
4848,-3571,12500,-841,2342,-2075,54329,6
-29698,525,4520,-538,1004,-1318,64316,7
26141,13326,18003,-405,414,-828,74304,8
86,17573,25571,-1004,1098,-1587,84275,9
-17463,6437,17366,-848,1025,-2290,94848,10
-14247,351,2273,-355,65,-1960,104275,11
-11325,2256,-2247,-208,63,-1780,114253,12
-6395,1813,-2596,-390,684,-1819,124241,13
-4399,-1423,151,-523,724,-1528,134143,14
-10738,-3447,6000,-733,455,-1321,144073,15
-12691,-5298,6022,-691,-97,-1111,154004,16
-8726,-4380,4311,-549,-707,-850,163990,17
-1342,-827,8990,-532,-1202,-561,174687,18
1361,-267,11966,-495,-1210,-476,184291,19
4586,-218,11740,-360,-642,-451,194294,20
5660,552,9939,-245,-91,-566,204231,21
-408,-132,6330,-209,145,-629,214141,22
-5314,-1142,2837,-235,-12,-586,224233,23
-4645,-2560,3379,-261,-301,-482,234146,24
-1444,-2227,5563,-247,-423,-401,244129,25
-206,-1155,7117,-229,-399,-385,254129,26
-583,-1091,7431,-207,-295,-390,264174,27
-715,-581,7479,-180,-253,-386,274154,28
-1416,-611,7461,-172,-258,-377,284141,29
-1686,-707,6848,-152,-262,-371,294140,30
-1807,-384,5967,-150,-230,-368,304704,31
-2675,-861,5347,-165,-200,-348,313979,32
-3723,-1196,5886,-173,-205,-325,323973,33
-3277,-1047,6076,-167,-248,-277,333979,34
-2605,-913,6644,-158,-290,-238,343980,35
-2500,-734,7285,-140,-301,-225,353980,36
-1896,-326,7592,-134,-307,-198,364033,37
-1464,-134,7118,-137,-277,-177,374007,38
-1610,-276,6842,-141,-215,-171,383983,39
-2176,-579,6829,-146,-167,-174,394101,40
-2915,-784,6641,-154,-141,-167,403984,41
-3260,-813,6004,-168,-148,-157,413949,42
-3047,-786,5852,-171,-179,-143,423980,43
-2962,-681,6235,-175,-206,-131,433985,44
-2496,-235,6814,-178,-232,-120,443990,45
-2244,-211,6745,-183,-227,-119,453991,46
-2303,-61,6726,-191,-211,-124,464053,47
-2506,-171,6501,-199,-205,-128,474020,48
-2622,-321,6584,-209,-194,-131,483988,49
-2697,-143,6524,-221,-196,-130,493991,50
-2788,-140,6609,-230,-190,-126,504438,51
-2936,-289,6581,-232,-180,-130,513812,52
-3244,-305,6842,-233,-166,-127,523827,53
-3658,125,6537,-233,-165,-118,533838,54
-3704,23,6670,-227,-183,-104,543845,55
-3340,160,6538,-223,-216,-87,553845,56
-2749,178,7089,-224,-219,-84,563866,57
-2897,324,6825,-227,-188,-89,573845,58
-3168,179,6666,-228,-200,-98,583848,59
-2698,419,6352,-235,-213,-114,593849,60
-2677,488,6269,-246,-201,-143,603848,61
