xac,yac,zac,xang,yang,zang,tempo,amostra
3221,-2069,9762,362,-430,-470,1,0
5805,-1971,9453,385,-336,-452,11435,1
6292,-1776,9295,387,-186,-509,21402,2
4351,-1222,9049,375,-21,-561,31292,3
2388,-1048,8871,356,110,-575,41249,4
2364,-1543,7704,350,126,-551,51451,5
3109,-2250,7345,354,44,-519,61408,6
4093,-2283,7161,358,0,-497,71307,7
4914,-1668,6860,350,31,-506,81317,8
4568,-1045,7452,333,64,-524,91250,9
3210,-1046,8081,312,104,-539,101359,10
3213,-1131,8355,295,174,-543,111290,11
3367,-784,8945,282,167,-556,121265,12
2894,-543,8924,258,192,-587,131265,13
2905,-696,7881,240,220,-608,141267,14
3174,-808,7589,225,148,-622,151346,15
2876,-626,7588,201,112,-648,161296,16
2822,-778,7731,181,84,-662,171270,17
3031,-928,7948,179,55,-668,181835,18
3028,-982,7802,170,53,-680,191464,19
2468,-1487,7544,161,71,-692,201443,20
1543,-1482,7378,152,89,-671,211447,21
924,-1507,7535,139,77,-648,221444,22
618,-1520,7802,134,44,-617,231447,23
790,-1581,8316,124,6,-591,241447,24
1153,-1485,7642,117,0,-565,251142,25
1184,-1538,7397,107,-12,-552,261448,26
570,-1458,7549,99,-21,-530,271121,27
-21,-1688,7382,92,-29,-494,281122,28
90,-2247,7310,87,-45,-454,291636,29
277,-2292,7264,87,-72,-409,301285,30
-49,-2170,7504,83,-72,-366,311285,31
-301,-2025,7871,76,-70,-332,321284,32
24,-1882,8093,74,-77,-299,331287,33
297,-1901,8462,72,-70,-280,341288,34
449,-1827,8509,76,-52,-267,351342,35
617,-1421,8221,76,-29,-255,361273,36
328,-1083,8522,74,-4,-244,371231,37
1,-728,8366,67,14,-234,381121,38
-192,-862,8326,55,6,-228,391291,39
76,-1368,8543,61,-25,-219,401146,40
568,-1496,8798,69,-64,-231,411108,41
1941,-1593,8428,70,-85,-277,421078,42
3219,-1808,8190,87,-88,-369,431301,43
3674,-1494,7900,109,-75,-473,441281,44
3653,-596,7559,116,-57,-568,451325,45
3013,-39,7521,127,-42,-656,461283,46
1680,482,7549,131,-50,-709,471280,47
948,838,7819,124,-81,-756,481279,48
692,1113,7722,113,-136,-793,491222,49
-4,1331,7899,99,-214,-820,501117,50
-177,1729,7504,72,-286,-831,511115,51
867,2457,7384,43,-374,-840,521116,52
2339,4417,6575,0,-419,-850,531118,53
3040,5564,6772,-42,-475,-883,541117,54
1196,5252,8117,-65,-561,-917,551170,55
335,4595,9772,-97,-660,-938,561125,56
1217,4433,10210,-140,-733,-943,571117,57
2387,3995,9953,-178,-778,-972,581118,58
2653,2955,10035,-183,-817,-1024,591792,59
2823,1884,10215,-197,-830,-1082,601155,60
3294,1002,10346,-195,-801,-1161,611131,61
3546,133,10031,-174,-754,-1241,621125,62
3179,-196,9692,-141,-688,-1315,631128,63
2764,-426,9549,-75,-573,-1402,640961,64
3001,-42,9540,-6,-421,-1476,651005,65
2509,574,9118,-1,-226,-1596,660971,66
1376,141,8749,28,73,-1756,670967,67
-379,-324,7847,77,366,-1926,680967,68
-1786,-1026,7152,125,611,-2012,690967,69
-3213,-1505,6921,172,742,-2039,701188,70
-4823,-2365,6582,185,783,-2037,711149,71
-6212,-2866,5788,223,779,-2011,721143,72
-6520,-2692,5224,243,703,-1935,731150,73
-6216,-2693,5325,242,600,-1866,741142,74
-5330,-2696,5852,218,518,-1794,751201,75
-3934,-2614,6339,178,436,-1717,761169,76
-3062,-3089,6714,143,385,-1659,771155,77
-3108,-3364,7251,104,371,-1578,781155,78
-3588,-4848,7734,66,363,-1505,791158,79
-2270,-6540,8050,36,347,-1295,801680,80
395,-7127,8940,-7,250,-953,810998,81
979,-7519,9553,-8,162,-689,820987,82
1213,-7168,9167,28,229,-456,830986,83
1072,-6373,9094,7,264,-226,840989,84
155,-6370,9073,-22,257,-35,851080,85
-47,-6311,8892,-55,223,187,861016,86
