xac,yac,zac,xang,yang,zang,tempo,amostra
-2085,1654,7060,-100,26,-734,1,0
-2166,1629,7283,-70,116,-673,11970,1
-2433,1785,7185,-44,186,-626,21792,2
-2797,1809,7221,-21,219,-601,31944,3
-3352,2161,7113,-5,230,-587,41775,4
-3575,2225,7033,4,172,-593,51877,5
-3361,2163,7328,8,82,-614,62040,6
-2812,2069,7442,11,17,-637,71867,7
-2401,2120,7670,3,17,-647,82035,8
-2148,2090,7821,-5,48,-646,91858,9
-2023,2083,7688,-14,90,-642,102045,10
-2105,2104,7701,-22,125,-643,111877,11
-2158,2148,7654,-31,142,-651,121719,12
-2092,2157,7686,-41,140,-656,131887,13
-2016,2020,7665,-53,109,-662,141755,14
-1788,1969,7708,-63,69,-669,151892,15
-1545,1807,7607,-69,40,-670,161710,16
-1178,1765,7917,-74,32,-665,171747,17
-863,1516,7918,-75,47,-659,181654,18
-785,1515,7720,-72,74,-649,191739,19
-953,1688,7726,-73,98,-642,201770,20
-1012,1659,7736,-75,109,-638,211739,21
-1015,1557,7763,-73,109,-645,221790,22
-861,1552,7770,-70,102,-658,231606,23
-780,1582,7950,-67,98,-675,241700,24
-717,1573,7763,-62,98,-696,251746,25
-807,1624,7586,-58,98,-719,261796,26
-672,1660,7437,-55,91,-738,271607,27
-499,1707,7374,-44,89,-765,281751,28
-350,1706,7308,-35,96,-791,291580,29
-343,1574,7379,-23,109,-819,301728,30
-93,1473,7467,-15,118,-850,311763,31
-215,1495,7518,-11,123,-877,321594,32
-67,1480,7476,-9,118,-906,331643,33
334,1493,7501,-8,107,-937,341757,34
650,1351,7648,-5,109,-967,351572,35
743,1379,7542,-3,114,-991,361632,36
859,1400,7588,-1,118,-1012,371755,37
1047,1186,7661,5,112,-1031,381637,38
1342,1140,7480,14,102,-1049,391764,39
1567,1109,7719,22,106,-1065,402089,40
1904,980,7579,31,126,-1081,411631,41
2170,743,7604,44,159,-1092,421766,42
2319,277,7731,57,201,-1110,431615,43
2488,-130,7713,71,253,-1130,441753,44
3139,-443,7267,84,301,-1155,451608,45
1737,-533,7621,95,336,-1190,461729,46
2424,-1714,8509,88,433,-1202,471510,47
2568,-4874,7523,183,339,-1197,481644,48
3295,-4234,5014,273,245,-1276,491777,49
1962,-1652,8590,100,441,-1351,501637,50
4776,-3621,11023,124,661,-1313,511756,51
3048,-4095,11351,207,620,-1403,521620,52
1284,-3014,10730,247,558,-1493,531772,53
1926,-3144,10563,267,450,-1550,541633,54
2178,-4160,9728,322,373,-1637,551484,55
2519,-3521,9471,317,393,-1713,561636,56
