xac,yac,zac,xang,yang,zang,tempo,amostra
12771,1026,9103,118,-946,914,1,0
12695,1759,9193,120,-1021,649,4401,1
12284,2249,8827,118,-964,408,14210,2
11730,2875,8530,116,-859,176,24356,3
11201,3355,8330,107,-731,-44,34191,4
10525,3723,8321,105,-606,-247,44349,5
9144,4254,7448,91,-468,-405,54183,6
7535,5273,5368,39,-360,-518,64440,7
8318,8293,-2576,-172,-332,-639,74282,8
15650,22,-13649,-549,-438,-749,84220,9
16272,-10983,-12618,-536,-33,-1044,95062,10
-5355,-14136,2144,-722,65,-1187,104255,11
-16246,-12295,11933,-318,751,-813,114397,12
-3081,-1542,11593,-185,1310,-698,124237,13
5204,6771,11554,-161,246,-941,134390,14
503,5715,16039,-335,71,-1045,144229,15
-1346,1308,14162,-428,478,-770,154391,16
-916,-87,11525,-524,508,-453,164232,17
-3355,-869,10055,-646,202,-451,174389,18
-4646,-502,9324,-746,-126,-520,184259,19
-5024,1062,8086,-758,-411,-636,194086,20
-5179,1377,7449,-687,-811,-761,204400,21
-3385,838,6930,-570,-1034,-770,214242,22
114,160,7711,-455,-941,-670,224405,23
2498,-815,9091,-375,-523,-498,234250,24
3392,-176,10438,-308,175,-278,244083,25
974,969,10170,-269,850,-103,254265,26
-3086,1318,9307,-294,1053,-29,264128,27
-5482,1611,8738,-357,800,-48,274348,28
-5936,2153,8763,-392,363,-141,284077,29
-5427,2031,8426,-397,-52,-277,294258,30
-3415,1380,8056,-383,-321,-353,304062,31
-1574,744,7933,-347,-335,-384,314239,32
-758,529,7949,-301,-120,-362,324081,33
-865,1044,8227,-256,195,-312,334265,34
-1989,1514,8148,-226,421,-292,344118,35
-3458,1784,8127,-217,439,-311,354327,36
-3671,1742,8522,-217,321,-350,364222,37
-3023,1425,8760,-219,215,-396,374076,38
-2108,1348,8584,-215,182,-447,384271,39
-2096,1432,8387,-209,166,-490,394144,40
-2143,1577,8125,-198,142,-516,403979,41
-1865,1368,8201,-187,98,-529,413980,42
-1282,1084,8288,-176,60,-531,424227,43
-898,1125,8481,-170,52,-520,434085,44
-713,1090,8591,-169,67,-496,443959,45
-710,1143,8582,-168,99,-467,454165,46
-675,1286,8399,-165,140,-444,464058,47
-940,1411,8378,-159,166,-432,474265,48
-1123,1329,8241,-152,158,-429,484150,49
-1243,1347,8074,-147,123,-434,494059,50
-1185,1438,8189,-146,63,-448,504609,51
-1043,1397,8327,-145,10,-457,514522,52
-605,1456,8548,-148,-25,-460,524223,53
-339,1405,8607,-151,-33,-457,534099,54
-168,1265,8657,-152,-1,-448,543981,55
-199,1233,8301,-151,38,-434,554224,56
-146,1208,8287,-149,74,-423,564107,57
-182,1305,8242,-144,101,-418,574005,58
-292,1249,8060,-139,120,-420,583943,59
-421,1373,7950,-133,134,-433,594154,60
-531,1399,7941,-124,133,-451,604069,61
-520,1534,7868,-115,131,-474,613951,62
-487,1463,7833,-103,127,-506,624179,63
-409,1487,7909,-94,122,-539,634085,64
-423,1465,7865,-82,123,-574,643980,65
-295,1387,7922,-66,129,-615,653903,66
-178,1428,7882,-54,120,-663,664114,67
-359,1501,7968,-39,107,-714,674035,68
-163,1398,7958,-17,96,-766,683970,69
264,1221,7958,4,80,-817,693897,70
591,1161,8005,28,78,-859,704118,71
911,1009,8115,47,99,-890,714612,72
1200,1039,8188,66,134,-914,723875,73
1330,911,8171,82,168,-932,734119,74
1230,423,8542,112,185,-936,744065,75
1129,-810,7662,168,152,-934,753962,76
1556,-1148,6826,212,106,-947,764059,77
1784,-184,8239,201,192,-957,773942,78
2326,-640,8562,207,298,-929,783821,79
1949,-1839,8166,222,307,-936,793948,80
961,-2680,8438,201,335,-957,803808,81
1105,-3404,8292,207,349,-956,813753,82
1667,-3578,8161,220,356,-1013,823849,83
1746,-3854,8971,227,406,-1116,833972,84
1284,-3915,8760,227,510,-1229,843824,85
1439,-4200,9345,227,541,-1330,853965,86
254,-3466,10201,218,580,-1458,863826,87
648,-2836,10585,200,613,-1549,873972,88
847,-2511,10999,181,598,-1646,883860,89
721,-2602,11160,176,581,-1734,893985,90
525,-2710,11099,179,520,-1813,903830,91
208,-2367,10934,187,423,-1896,914122,92
620,-2000,10026,178,342,-1954,923688,93
1012,-2711,9753,183,290,-2005,933834,94
68,-2192,9237,185,289,-2038,943976,95
-532,-1514,8151,185,315,-2022,953832,96
-1107,3,7265,143,327,-1966,963693,97
-1002,633,6693,95,378,-1870,973832,98
-1291,-562,6025,67,427,-1722,983737,99
-7688,-893,10394,78,627,-1437,993933,100
-8982,689,9164,148,1174,-993,1003832,101
-5345,3651,7478,114,1291,-775,1013763,102
-6708,2684,8732,71,1187,-532,1024676,103
-7263,3633,8841,41,1201,-221,1033696,104
-6337,4569,9126,-8,1063,51,1043848,105
-6041,4421,9624,-34,849,319,1053722,106
-5165,4541,9467,-57,687,585,1063876,107
-4659,5053,9369,-106,472,848,1073791,108
-4085,5011,9574,-153,253,1091,1083737,109
-3286,4664,9386,-189,66,1319,1093653,110
-2472,4240,9451,-226,-99,1538,1103849,111
-1342,3631,9580,-258,-217,1758,1114007,112
-526,3223,9911,-281,-270,1974,1124308,113
163,2595,10110,-304,-282,2176,1133613,114
679,1874,10368,-321,-283,2367,1143839,115
1266,1130,10421,-339,-295,2538,1153722,116
1988,231,10599,-350,-321,2684,1163601,117
2723,-646,10676,-349,-352,2805,1173824,118
