xac,yac,zac,xang,yang,zang,tempo,amostra
6402,88,13536,16,-612,-1059,1,0
6729,-976,12675,94,-335,-1175,9011,1
2786,-1504,11623,147,26,-1162,18828,2
-1298,-1343,8820,142,302,-1139,28882,3
-5227,-1675,5579,107,172,-1068,38605,4
-6752,-2265,4992,42,-234,-906,48649,5
-5466,-2222,5738,11,-644,-715,58644,6
-1015,-2410,7076,-19,-807,-545,68646,7
1525,-2429,8515,-22,-701,-517,78645,8
1439,-1720,9364,-24,-463,-536,88648,9
632,-1332,9373,-22,-250,-540,98861,10
-1185,-1030,8830,-18,-112,-544,108638,11
-2508,-1189,8260,-16,-99,-501,118642,12
-3104,-1441,7629,-13,-187,-446,128651,13
-1855,-1510,7651,-17,-287,-383,138659,14
-663,-1613,7679,-15,-338,-369,148659,15
10,-1783,7797,-14,-313,-369,158661,16
-140,-1505,7546,-17,-272,-370,168660,17
-380,-1523,7431,-22,-246,-389,178663,18
-21,-1677,7473,-27,-230,-406,188663,19
153,-1952,7474,-31,-198,-427,199332,20
-37,-2056,7554,-41,-137,-457,208786,21
-866,-1949,7832,-44,-98,-489,218795,22
-1326,-1439,8160,-52,-83,-500,228526,23
-1385,-1077,8068,-62,-87,-516,238809,24
-1006,-1214,8173,-68,-111,-540,248536,25
-890,-998,8266,-78,-120,-557,258818,26
-1054,-940,8043,-91,-105,-578,268544,27
-1803,-1081,8117,-101,-105,-613,278569,28
-2116,-769,8238,-112,-131,-611,288630,29
-2203,-805,8240,-120,-153,-615,298697,30
-1981,-952,8257,-126,-163,-640,308741,31
-1529,-959,8252,-140,-164,-649,318512,32
-1591,-1123,8112,-155,-142,-671,328544,33
-2229,-1060,8239,-163,-120,-696,338578,34
-3106,-985,8306,-174,-132,-706,348644,35
-3700,-867,8394,-181,-165,-700,358688,36
-3187,-964,8519,-183,-200,-692,368721,37
-2695,-1029,8358,-188,-206,-699,378496,38
-2937,-1226,8327,-189,-175,-714,388550,39
-3728,-718,8409,-187,-191,-712,398734,40
-3800,-517,8745,-191,-240,-708,408575,41
-3318,-253,8926,-186,-265,-728,418662,42
-2803,-161,9124,-180,-258,-748,428698,43
-3297,363,9196,-185,-239,-773,438459,44
-3699,308,8960,-196,-223,-794,448537,45
-3702,-18,8426,-208,-248,-813,458569,46
-3292,327,8206,-227,-262,-859,468645,47
-3146,433,7895,-240,-272,-893,478705,48
-3552,461,8348,-251,-278,-917,488502,49
-4357,507,8748,-254,-294,-943,498583,50
-4486,836,9245,-268,-328,-976,508577,51
-4556,1057,8877,-292,-330,-1008,518678,52
-5168,1156,8653,-306,-346,-1025,528550,53
-6468,1306,7744,-306,-415,-1023,538590,54
-6953,1549,7726,-304,-540,-1010,548684,55
-7088,1819,8089,-300,-686,-998,558445,56
-6447,2481,8279,-312,-812,-971,568545,57
-4924,4275,8081,-378,-827,-973,578620,58
-3782,5278,7979,-439,-692,-1008,588413,59
-5254,4178,8284,-424,-634,-1006,598474,60
-5349,3848,9305,-424,-745,-933,608998,61
-2520,5184,10149,-478,-796,-988,618538,62
-575,5753,10136,-537,-705,-1137,628589,63
198,5740,9695,-581,-571,-1197,638406,64
-618,6080,9125,-603,-502,-1263,648473,65
-1121,7063,8654,-612,-510,-1415,658562,66
-400,7589,8312,-624,-619,-1559,668372,67
937,7662,7850,-627,-783,-1673,678445,68
2172,7834,8252,-641,-917,-1775,688569,69
2566,7984,8222,-647,-985,-1887,698397,70
2956,8128,9197,-673,-1054,-1957,708588,71
3702,7024,8067,-670,-1096,-1977,718397,72
3132,6212,7519,-707,-1123,-1987,728463,73
1377,5348,6707,-691,-1124,-1996,738576,74
-1120,4668,7416,-718,-1097,-1974,748421,75
-5032,4267,6925,-617,-999,-1987,758563,76
-9318,4221,6931,-515,-695,-2033,768386,77
-11507,3359,5971,-470,-502,-2122,778511,78
-12102,952,6617,-423,-213,-2234,788600,79
-11561,-1351,7459,-363,-50,-2212,798473,80
-10902,-2682,7861,-316,-61,-2051,809174,81
-10836,-3362,7933,-311,-67,-1795,818435,82
-10730,-4274,8127,-311,-67,-1466,828573,83
-9239,-4930,7916,-242,-99,-1117,838428,84
-6931,-5704,8261,-222,-217,-703,848278,85
