xac,yac,zac,xang,yang,zang,tempo,amostra
-2611,-18714,-66,-130,572,-149,0,0
-2904,-18608,43,-113,576,-151,11654,1
-3022,-18489,368,-99,567,-164,21679,2
-3216,-18406,443,-86,537,-183,32341,3
-3044,-18477,546,-78,501,-192,41550,4
-2870,-18490,565,-64,463,-208,51644,5
-3084,-18529,559,-50,446,-230,61675,6
-3074,-18903,110,-33,395,-245,71695,7
-2685,-19519,-98,-12,340,-262,81786,8
-2463,-19257,-254,-2,326,-265,91681,9
-2449,-18791,32,0,350,-265,101522,10
-2778,-18480,567,7,357,-273,111550,11
-2294,-18353,570,17,339,-266,121652,12
-1947,-18465,264,38,316,-272,131689,13
-2430,-18745,-78,54,294,-288,141545,14
-2481,-19098,49,69,294,-300,151650,15
-1971,-19185,40,71,317,-297,161691,16
-1837,-19070,715,76,371,-311,171506,17
-2633,-19008,962,78,420,-348,181837,18
-3802,-19663,634,76,435,-385,191654,19
-3649,-19800,685,66,403,-422,202168,20
-2965,-20001,929,69,393,-472,211679,21
-2607,-19879,930,69,423,-534,221502,22
-2688,-20254,887,78,494,-606,231561,23
-2924,-20556,391,84,549,-683,241705,24
-2846,-21016,143,88,622,-780,251530,25
-2602,-21478,579,91,728,-882,261651,26
-2490,-22547,1661,96,865,-991,271715,27
-3616,-23939,3393,106,1005,-1121,281536,28
-5431,-23979,1306,118,1099,-1275,291628,29
-7977,-24582,1281,82,1117,-1425,301706,30
-11376,-24587,2359,7,1032,-1551,311520,31
-10189,-24593,1605,17,824,-1644,321568,32
-6954,-24601,259,-73,655,-1812,331682,33
-6551,-24613,1856,-115,665,-1910,341566,34
-7437,-24626,3096,-129,802,-1956,351679,35
-6455,-24642,3222,-88,847,-1956,361463,36
-4819,-24660,2958,-48,759,-1964,371549,37
-2178,-24238,600,-50,518,-2009,381668,38
-1469,-23669,2145,-58,197,-2090,391444,39
202,-22327,1705,-12,15,-2111,401890,40
-123,-21063,1890,25,-31,-2072,411611,41
-2648,-19681,1271,86,79,-1927,421418,42
-5003,-16756,-1442,132,318,-1702,431532,43
-6661,-14914,1476,135,671,-1403,441599,44
-6518,-16600,5809,365,1107,-1031,451421,45
-7883,-15347,6211,590,1454,-647,461543,46
-12003,-14361,5887,738,1836,-311,471389,47
-14302,-13056,6066,871,1978,79,481466,48
-14633,-11572,5936,958,1899,442,491562,49
-13852,-11067,5885,992,1672,772,501411,50
-12714,-11236,5744,996,1350,1082,511477,51
-10661,-11749,5605,955,972,1370,521572,52
-10418,-12985,4699,913,617,1625,531432,53
-10996,-13757,3899,862,254,1884,541379,54
-12135,-14357,3485,822,-179,2121,551463,55
-11502,-14921,2640,777,-669,2327,561584,56
-10036,-15837,1494,721,-1197,2473,571440,57
-8660,-17032,571,674,-1673,2606,581582,58
-7273,-18559,-501,658,-2049,2735,591443,59
-6025,-20026,-1248,667,-2309,2855,601584,60
-4846,-21566,-2237,685,-2488,2967,611782,61
-3646,-23135,-2857,715,-2597,3069,621588,62
-2504,-24273,-3792,751,-2644,3157,631447,63
-1355,-24872,-5058,762,-2634,3217,641636,64
-825,-24919,-6216,748,-2559,3259,651452,65
-331,-24972,-7221,727,-2399,3299,661304,66
140,-25029,-8410,688,-2174,3330,671452,67
760,-25091,-9842,599,-1887,3362,681306,68
1874,-25155,-11348,471,-1558,3404,691457,69
3226,-25222,-12311,323,-1137,3451,701313,70
4697,-25290,-13303,140,-665,3499,711492,71
7277,-25358,-13701,-81,-191,3523,721344,72
9547,-25425,-12468,-310,265,3474,731473,73
11332,-25491,-10158,-472,699,3381,741408,74
11058,-25556,-8099,-581,1100,3218,751282,75
