xac,yac,zac,xang,yang,zang,tempo,amostra
-7321,-17715,468,-499,-113,929,1,0
-6381,-18174,197,-527,-168,996,3643,1
-5426,-18606,-124,-548,-199,1064,13723,2
-4850,-18889,-682,-570,-210,1130,23766,3
-4390,-18982,-1215,-598,-208,1200,33510,4
-2796,-19098,-1565,-634,-177,1258,43626,5
-1132,-19420,-1875,-668,-87,1305,53565,6
-859,-19904,-1833,-696,75,1363,63609,7
-841,-20208,-1392,-712,268,1418,73645,8
-122,-20494,-945,-725,443,1442,83743,9
1220,-20600,-621,-740,572,1432,94222,10
1865,-20855,-141,-766,686,1404,103583,11
1233,-21373,696,-787,804,1384,113615,12
660,-21504,2199,-789,910,1371,123655,13
676,-21196,3128,-780,976,1338,133462,14
828,-21103,4050,-779,977,1296,143515,15
1455,-20727,5035,-783,936,1257,153615,16
2376,-20377,5675,-780,914,1216,163665,17
2115,-20304,6455,-764,904,1167,173479,18
1464,-20261,7494,-744,864,1113,183546,19
1057,-20193,8705,-712,787,1050,193621,20
1310,-20100,9648,-671,651,964,203739,21
3097,-20376,10257,-629,459,856,213640,22
5111,-20833,10179,-597,254,704,223456,23
4538,-21592,11013,-556,84,559,233522,24
2890,-21687,12258,-475,-40,453,243644,25
2174,-21482,13026,-381,-187,337,253504,26
2462,-21143,13308,-287,-358,211,263591,27
3096,-20553,13333,-196,-528,94,273369,28
3195,-20410,13198,-112,-684,-14,283504,29
1392,-20843,9928,-69,-808,-102,293624,30
740,-21674,14333,71,-998,-109,304155,31
3983,-20464,7886,93,-1146,-289,313661,32
-4424,-18600,-2512,-45,-1391,-415,323506,33
-18954,-20457,3085,-87,-1688,-208,333644,34
-17909,-24912,3092,-65,-1100,-102,343538,35
1944,-25041,5597,203,-1300,-416,353369,36
11063,-25002,2507,126,-1869,-908,363504,37
4196,-24958,7612,49,-1541,-872,373353,38
-5165,-22378,6050,262,-430,-771,383490,39
-9248,-16885,855,269,-37,-765,393626,40
-6376,-16652,-157,177,-319,-730,403476,41
-2527,-16363,-1263,135,-461,-689,413571,42
-3167,-16847,-205,66,-583,-690,423667,43
-4913,-18871,1003,57,-595,-666,433520,44
-3872,-20734,1022,84,-492,-626,443410,45
-2557,-21788,1420,137,-330,-576,453531,46
-2810,-21403,1566,188,-129,-524,463428,47
-4237,-19546,1250,199,-16,-489,473536,48
-5257,-18886,1272,166,-71,-483,483390,49
-5379,-19244,1684,131,-157,-475,493529,50
-4603,-19843,1891,98,-228,-463,503752,51
-3939,-20111,2100,72,-289,-452,513270,52
-3835,-19928,1699,52,-309,-439,523398,53
-4483,-19569,1419,49,-303,-429,533532,54
-4544,-19433,1028,59,-283,-402,543428,55
-4330,-19357,625,72,-266,-373,553428,56
-3876,-19288,1021,87,-247,-338,563250,57
-3756,-18921,1129,92,-209,-313,573398,58
-3833,-18907,1255,99,-161,-286,583243,59
-4152,-19002,1151,107,-116,-276,593399,60
-4776,-18671,882,105,-92,-270,603250,61
-4840,-18486,921,102,-100,-278,613439,62
-4270,-18702,968,102,-103,-271,623266,63
-3779,-19196,1239,111,-84,-264,633412,64
-3929,-19490,1301,121,-38,-256,643289,65
-4067,-19525,1340,138,19,-245,653412,66
-4212,-19647,1359,154,51,-244,663265,67
-4452,-19165,901,167,61,-251,673414,68
-4472,-18883,977,173,65,-265,683271,69
-4356,-18960,1118,190,71,-267,693419,70
-3703,-19239,1518,209,114,-256,703275,71
-3201,-19610,1308,227,178,-240,713775,72
-3025,-19903,1402,256,252,-211,723411,73
-3768,-19931,1588,279,352,-188,733277,74
-3388,-19613,1661,297,409,-162,743148,75
-3055,-19650,1702,298,418,-138,753276,76
-3847,-19975,1978,313,435,-129,763134,77
-4130,-19783,1933,324,469,-124,773273,78
-3660,-19547,1891,313,447,-123,783141,79
-3940,-19453,1277,304,397,-140,793283,80
-3595,-19072,711,304,378,-157,803428,81
-3532,-19167,1136,321,375,-161,813359,82
-3650,-19321,1405,346,443,-159,823286,83
-4327,-19342,1575,363,491,-182,833146,84
-3078,-19474,1313,382,512,-182,843318,85
-3883,-19350,981,414,545,-216,853172,86
-5172,-19150,822,432,492,-274,863321,87
-4732,-19117,1093,461,417,-294,873181,88
-3960,-19732,1290,489,389,-334,883329,89
-3738,-20086,1220,528,422,-368,893192,90
-4536,-20094,984,575,453,-418,903342,91
-5097,-20703,405,613,431,-455,913768,92
-5355,-21372,515,647,305,-454,925579,93
-4676,-21608,1319,651,253,-459,933168,94
-3232,-21514,2699,657,238,-434,943325,95
-2868,-21509,3280,666,255,-409,953193,96
-4170,-21857,3073,676,251,-399,963216,97
-3585,-21285,2987,670,257,-412,973152,98
-3141,-20887,2485,640,361,-489,983315,99
-4077,-20231,-1409,579,454,-567,993188,100
-6901,-20671,-2920,495,526,-619,1003344,101
-8484,-21227,-3447,470,673,-648,1013519,102
-7852,-21146,-4491,417,765,-670,1023170,103
-3858,-20286,-6605,321,857,-700,1033343,104
-1846,-20948,-9766,153,1056,-755,1043067,105
-6500,-20926,-8326,85,1249,-602,1053063,106
-12067,-17565,-7355,45,1361,-431,1063302,107
-17036,-15452,-6241,-55,1299,-258,1073194,108
-18655,-14497,-5509,-130,1129,-50,1083090,109
-17199,-14713,-5814,-239,831,113,1093045,110
-15562,-15737,-6029,-367,480,239,1103226,111
-14778,-16563,-5743,-490,178,356,1113179,112
-14108,-17026,-4325,-579,-40,474,1123565,113
-11755,-17670,-3111,-630,-173,559,1133190,114
-9542,-18163,-2408,-663,-204,635,1143102,115
-7867,-18563,-1842,-680,-145,716,1153061,116
-6395,-18684,-1183,-679,-36,791,1163032,117
-5742,-18732,-602,-674,98,853,1173223,118
-5634,-18588,-258,-674,220,917,1183188,119
-5429,-18585,331,-680,297,970,1193095,120
-4463,-18460,807,-694,318,1013,1203064,121
-3233,-18632,1322,-712,301,1045,1213077,122
-2593,-18933,1336,-724,258,1066,1223077,123
-2280,-19303,1714,-734,181,1071,1233063,124
-2193,-19519,2204,-748,76,1054,1243095,125
-1396,-19986,2546,-766,-38,1010,1253075,126
262,-20635,3011,-770,-142,951,1263066,127
2076,-21093,3382,-771,-203,878,1273060,128
2684,-21391,3769,-761,-212,804,1283052,129
1695,-21489,3843,-744,-209,751,1292977,130
905,-21228,4215,-713,-232,702,1302937,131
652,-20930,4199,-679,-275,638,1312930,132
990,-20844,4116,-654,-309,586,1323415,133
1468,-20888,4001,-634,-300,548,1333048,134
1547,-20696,3798,-619,-263,524,1342992,135
928,-20419,3840,-604,-215,505,1352947,136
25,-20172,4083,-593,-179,491,1362940,137
-2,-20270,4535,-582,-161,471,1372936,138
1136,-20164,4961,-569,-169,432,1382932,139
2078,-20138,5384,-554,-166,371,1392932,140
1463,-20614,6001,-533,-133,338,1402938,141
